question,answer,qA
"#Q In the Battle of Gaugamela, 331 B.C. , Alexander the Great of Macedonia defeated which king?
",Darius III,"['#Q In the Battle of Gaugamela, 331 B.C. , Alexander the Great of Macedonia defeated which king?\n'
 '^ Darius III\n' 'A Cyrus the Great\n' 'B Leonidas of Sparta\n'
 'C Marcellus Germanicus\n' 'D Darius III\n']"
"#Q F. D. Toussaint Louverture, a freed self-educated slave, was one of the leaders of which uprising?
",Haitian Revolt,"['#Q F. D. Toussaint Louverture, a freed self-educated slave, was one of the leaders of which uprising?\n'
 '^ Haitian Revolt\n' 'A Sandanista Uprising\n'
 'B Rebellion of Martinique\n' 'C Haitian Revolt\n'
 'D Revolution of  Devils Island\n']"
"#Q What conflict was initiated by a self-proclaimed mystic, named Hong Xiuquan, who claimed that he was the new Messiah?
",Taiping Rebellion,"['#Q What conflict was initiated by a self-proclaimed mystic, named Hong Xiuquan, who claimed that he was the new Messiah?\n'
 '^ Taiping Rebellion\n' 'A Taiping Rebellion\n' 'B Turko-Russian War\n'
 'C Opium Wars\n' 'D Boxer Revolution\n']"
"#Q In this 751 A.D. military conflict between Islamic forces and Chinese forces, the Chinese were completely defeated.
",Talas War,"['#Q In this 751 A.D. military conflict between Islamic forces and Chinese forces, the Chinese were completely defeated.\n'
 '^ Talas War\n' 'A Talas War\n' 'B Sino-Turkish War\n' 'C Opium War\n'
 'D Boxer Revolution\n']"
"#Q This conflict, which lasted from 1839 to 1842, is regarded as a trade-inspired war between Great Britain and the Qing Empire in China.
",The First Opium War,"['#Q This conflict, which lasted from 1839 to 1842, is regarded as a trade-inspired war between Great Britain and the Qing Empire in China.\n'
 '^ The First Opium War\n' 'A The War of the Roses\n'
 'B The First Opium War\n' 'C The Shanghai Revolution\n'
 'D Boxer Rebellion\n']"
"#Q The Great Northern War was the war fought between a coalition of Russia, Denmark-Norway and Saxony-Poland one side and Sweden on the other side. The coalition attacked Sweden in what year?
",1700,"['#Q The Great Northern War was the war fought between a coalition of Russia, Denmark-Norway and Saxony-Poland one side and Sweden on the other side. The coalition attacked Sweden in what year?\n'
 '^ 1700\n' 'A 1942\n' 'B 1700\n' 'C 1917\n' 'D 1864\n']"
"#Q The Battle of CrÃ©cy, which took place on 26 August 1346, was one of the most important battles of a war conflict between which two countries?
",France and England,"['#Q The Battle of CrÃ©cy, which took place on 26 August 1346, was one of the most important battles of a war conflict between which two countries?\n'
 '^ France and England\n' 'A France and England\n'
 'B France and Flanders\n' 'C France and Spain\n' 'D France and Prussia\n']"
"#Q In this film, the Vietnam War veteran, played by Roy Scheider experienced a war flashback, involving the execution of an enemy soldier.
",Blue Thunder,"['#Q In this film, the Vietnam War veteran, played by Roy Scheider experienced a war flashback, involving the execution of an enemy soldier.\n'
 '^ Blue Thunder\n' 'A Blue Thunder\n' 'B Blackhawk Down\n' 'C Jaws II\n'
 'D A Bridge  Too Far\n']"
"#Q What was the name of the 1989 film, directed by Brian De Palma, in which a Vietnamese girl is kidnapped, raped and murdered by US troops?
",Casualties of War,"['#Q What was the name of the 1989 film, directed by Brian De Palma, in which a Vietnamese girl is kidnapped, raped and murdered by US troops?\n'
 '^ Casualties of War\n' 'A Platoon\n' 'B The Village\n'
 'C Apocalypse Now\n' 'D Casualties of War\n']"
"#Q In this movie the main character experiences a flashback in which he is tied in a crucifying position and being slowly slashed with a large knife.
",First Blood,"['#Q In this movie the main character experiences a flashback in which he is tied in a crucifying position and being slowly slashed with a large knife.\n'
 '^ First Blood\n' 'A First Blood\n' 'B Uncommon Valor\n' 'C Iron Eagle\n'
 'D Rambo III\n']"
"#Q Which country occupied Vietnam from the end of WW II to 1954, setting the scene for a civil war between North and South Vietnam?
",France,"['#Q Which country occupied Vietnam from the end of WW II to 1954, setting the scene for a civil war between North and South Vietnam?\n'
 '^ France\n' 'A India\n' 'B Holland\n' 'C China\n' 'D France\n']"
"#Q The Henry House can be found on which Civil war battlefield?
",Bull Run,"['#Q The Henry House can be found on which Civil war battlefield?\n'
 '^ Bull Run\n' 'A South Mountain\n' 'B Petersburg\n' 'C Cedar Creek\n'
 'D Bull Run\n']"
"#Q Elkhorn Tavern is located on which battlefield?
",Pea Ridge,"['#Q Elkhorn Tavern is located on which battlefield?\n' '^ Pea Ridge\n'
 'A Pea Ridge\n' 'B Chickamauga\n' 'C Franklin\n' 'D Wilsons Creek\n']"
"#Q Hornets Nest is associated with which battlefield?
",Shiloh,"['#Q Hornets Nest is associated with which battlefield?\n' '^ Shiloh\n'
 'A Shiloh\n' 'B Corinth\n' 'C Chattanooga\n' 'D Iuka\n']"
"#Q The Burnside Bridge is related to which Civil War battlefield?
",Antietam,"['#Q The Burnside Bridge is related to which Civil War battlefield?\n'
 '^ Antietam\n' 'A Glorietta Pass\n' 'B Chantilly\n' 'C Cheat Mountain\n'
 'D Antietam\n']"
"#Q The Maryes Heights are a landmark, found on which battlefield?
",Fredericksburg,"['#Q The Maryes Heights are a landmark, found on which battlefield?\n'
 '^ Fredericksburg\n' 'A Cold Harbor\n' 'B Chancellorsville\n'
 'C Fair Oaks\n' 'D Fredericksburg\n']"
"#Q On which battlefield was Lookout Mountain a dominant feature?
",Chattanooga,"['#Q On which battlefield was Lookout Mountain a dominant feature?\n'
 '^ Chattanooga\n' 'A Chattanooga\n' 'B Peachtree Creek\n'
 'C Mechanicsville\n' 'D Seven Pines\n']"
"#Q Farmland, owned by the McPherson family, the Cordori family, the Spangler family, the Culp family, and the Rose family is part of which battlefield?
",Gettysburg,"['#Q Farmland, owned by the McPherson family, the Cordori family, the Spangler family, the Culp family, and the Rose family is part of which battlefield?\n'
 '^ Gettysburg\n' 'A Cedar Mountain\n' 'B Gettysburg\n' 'C Franklin\n'
 'D Bull Run\n']"
"#Q Where was the Mule Shoe located?
",Spotsylvania,"['#Q Where was the Mule Shoe located?\n' '^ Spotsylvania\n'
 'A The WIlderness\n' 'B Murfreesboro\n' 'C Spotsylvania\n'
 'D Appomattox\n']"
"#Q The Crater is a famous landmark, located on which battlefield?
",Petersburg,"['#Q The Crater is a famous landmark, located on which battlefield?\n'
 '^ Petersburg\n' 'A Fair Oaks\n' 'B Petersburg\n' 'C Seven Pines\n'
 'D Red River\n']"
"#Q Where is the Field of Lost Shoes located?
",New Market,"['#Q Where is the Field of Lost Shoes located?\n' '^ New Market\n'
 'A Lynchburg\n' 'B McDowell\n' 'C Kernstown\n' 'D New Market\n']"
"#Q On what date did the Mayflower leave port?
",September 6,"['#Q On what date did the Mayflower leave port?\n' '^ September 6\n'
 'A September 13\n' 'B September 20\n' 'C September 16\n'
 'D September 6\n']"
"#Q Before its trans-Atlantic voyage the Mayflower was a merchant ship travelling between England and other European countries. What was its primary cargo?
",wine,"['#Q Before its trans-Atlantic voyage the Mayflower was a merchant ship travelling between England and other European countries. What was its primary cargo?\n'
 '^ wine\n' 'A rum\n' 'B wine\n' 'C livestock\n' 'D guns\n']"
"#Q It is estimated that the crew of the Mayflower consisted of how many people?
",25-30,"['#Q It is estimated that the crew of the Mayflower consisted of how many people?\n'
 '^ 25-30\n' 'A 25-30\n' 'B 10-20\n' 'C 30-50\n' 'D 5-10\n']"
"#Q What is the Mayflowers estimated length?
",90-110 feet,"['#Q What is the Mayflowers estimated length?\n' '^ 90-110 feet\n'
 'A 80-100 feet\n' 'B 90-110 feet\n' 'C 115-130 feet\n' 'D 100-125 feet\n']"
"#Q How wide was the Mayflower estimated to be?
",25 feet,"['#Q How wide was the Mayflower estimated to be?\n' '^ 25 feet\n'
 'A 40 feet\n' 'B 25 feet\n' 'C 20 feet\n' 'D 35 feet\n']"
"#Q How many days did it take the Mayflower to make the crossing from England to America?
",66 days,"['#Q How many days did it take the Mayflower to make the crossing from England to America?\n'
 '^ 66 days\n' 'A 66 days\n' 'B 80 days\n' 'C 77 days\n' 'D 70 days\n']"
"#Q How many passengers were aboard the Mayflower when it crossed the Atlantic?
",102,"['#Q How many passengers were aboard the Mayflower when it crossed the Atlantic?\n'
 '^ 102\n' 'A 93\n' 'B 100\n' 'C 102\n' 'D 90\n']"
"#Q Where did the pilgrims aboard the Mayflower intend to settle?
",in Virginia,"['#Q Where did the pilgrims aboard the Mayflower intend to settle?\n'
 '^ in Virginia\n' 'A in Virginia\n' 'B in Pennsylvania\n' 'C in Ohio\n'
 'D in New York\n']"
"#Q The Mayflower returned to England in 1621.
",True,"['#Q The Mayflower returned to England in 1621.\n' '^ True\n' 'A True\n'
 'B False\n' '\n'
 '#Q In the 1982 film Airplane 2: The Sequel the space shuttle was called the Mayflower 1.\n']"
"#Q In the 1982 film Airplane 2: The Sequel the space shuttle was called the Mayflower 1.
",True,"['#Q In the 1982 film Airplane 2: The Sequel the space shuttle was called the Mayflower 1.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q After the Romans left in 412-413 AD present-day Netherlands was populated by the Franks, Saxons and what other tribe?\n']"
"#Q After the Romans left in 412-413 AD present-day Netherlands was populated by the Franks, Saxons and what other tribe?
",Frisians,"['#Q After the Romans left in 412-413 AD present-day Netherlands was populated by the Franks, Saxons and what other tribe?\n'
 '^ Frisians\n' 'A Jutes\n' 'B Goths\n' 'C Angles\n' 'D Frisians\n']"
"#Q According to a legend, what preacher was killed by pagans at the northern city of Dokkum in 754?
",Bonifatius,"['#Q According to a legend, what preacher was killed by pagans at the northern city of Dokkum in 754?\n'
 '^ Bonifatius\n' 'A Clovis\n' 'B Patrick (Patricius)\n' 'C Radboud\n'
 'D Bonifatius\n']"
"#Q In 1596, navigator Cornelis de Houtman set  foot on the shore of  what future colonial possession?
",Dutch East Indies (Indonesia),"['#Q In 1596, navigator Cornelis de Houtman set  foot on the shore of  what future colonial possession?\n'
 '^ Dutch East Indies (Indonesia)\n' 'A Dutch East Indies (Indonesia)\n'
 'B New Netherlands (North America)\n' 'C Ceylon (Shri Lanka)\n'
 'D Surinam (Dutch Guyana)\n']"
"#Q What Dutch city was repeatedly plundered by the Vikings?
",Dorestad,"['#Q What Dutch city was repeatedly plundered by the Vikings?\n'
 '^ Dorestad\n' 'A Dorestad\n' 'B Roodeschool\n' 'C Elburg\n' 'D Goes\n']"
"#Q Dutch independence from Spain (1648) was recognized in this Treaty.
",Treaty of Munster,"['#Q Dutch independence from Spain (1648) was recognized in this Treaty.\n'
 '^ Treaty of Munster\n' 'A Treaty of Soissons\n' 'B Treaty of Antwerp\n'
 'C Treaty of Beijing\n' 'D Treaty of Munster\n']"
"#Q The first Dutch railway opened in this year -- the same year Belgian independence was recognized by the Dutch.
",1839,"['#Q The first Dutch railway opened in this year -- the same year Belgian independence was recognized by the Dutch.\n'
 '^ 1839\n' 'A 1839\n' 'B 1870\n' 'C 1802\n' 'D 1895\n']"
"#Q What Liberal statesman was Prime Minister of the Netherlands in the mid 19th century?  He drafted constitutional changes following the Paris Revolution of 1848.
",Johan Rudolf Thorbecke,"['#Q What Liberal statesman was Prime Minister of the Netherlands in the mid 19th century?  He drafted constitutional changes following the Paris Revolution of 1848.\n'
 '^ Johan Rudolf Thorbecke\n' 'A Anton Adriaan Mussert\n'
 'B Johan Rudolf Thorbecke\n' 'C Henri Gerard Winkelman\n'
 'D Pieter Jelles Troelstra\n']"
"#Q Who was the second wife (1879) of King William the Third of Netherlands? Her only daughter, Wilhelmina ascended the throne on September 6th, 1898 at the age of eighteen.
",Emma,"['#Q Who was the second wife (1879) of King William the Third of Netherlands? Her only daughter, Wilhelmina ascended the throne on September 6th, 1898 at the age of eighteen.\n'
 '^ Emma\n' 'A Emma\n' 'B Constance\n' 'C Valerie\n' 'D Odette\n']"
"#Q What was the nickname of William, Prince of Orange, Count of Nassau (Willem, Prins van Oranje, Graaf van Nassau), killed in 1584 in the city of Delft?
",The Silent,"['#Q What was the nickname of William, Prince of Orange, Count of Nassau (Willem, Prins van Oranje, Graaf van Nassau), killed in 1584 in the city of Delft?\n'
 '^ The Silent\n' 'A The Conqueror\n' 'B The Wealthy\n' 'C The Bold\n'
 'D The Silent\n']"
"#Q Most people thought a flight to the Moon would be impossible. Many developments had to take place, before it could even be seriously considered. One such development was the launch of the first artificial satellite in space, by the Soviet Union. What was the satellites name?
",Sputnik One,"['#Q Most people thought a flight to the Moon would be impossible. Many developments had to take place, before it could even be seriously considered. One such development was the launch of the first artificial satellite in space, by the Soviet Union. What was the satellites name?\n'
 '^ Sputnik One\n' 'A Sputnik One\n' 'B Vostok One\n' 'C Luna One\n'
 'D Spusk One\n']"
"#Q This was the second NASA space project. It helped develop the techniques, that made the famous Apollo missions possible. This spacecraft, the most sophisticated of its time, was launched by a converted Titan 2 rocket.
",Gemini,"['#Q This was the second NASA space project. It helped develop the techniques, that made the famous Apollo missions possible. This spacecraft, the most sophisticated of its time, was launched by a converted Titan 2 rocket.\n'
 '^ Gemini\n' 'A Voyager\n' 'B Gemini\n' 'C Atlas\n' 'D Mercury\n']"
"#Q Luna 1 was the first spacecraft to land on the Moon.
",False,"['#Q Luna 1 was the first spacecraft to land on the Moon.\n' '^ False\n'
 'A False\n' 'B True\n' '\n'
 '#Q President Kennedy once said I believe this nation should commit itself to achieving the goal, before this decade is out, of landing a man on the moon and returning him safely to the Earth. This was the goal of the Apollo project. Which one of these rockets was used to launch the Apollo spacecraft?\n']"
"#Q President Kennedy once said I believe this nation should commit itself to achieving the goal, before this decade is out, of landing a man on the moon and returning him safely to the Earth. This was the goal of the Apollo project. Which one of these rockets was used to launch the Apollo spacecraft?
",Saturn,"['#Q President Kennedy once said I believe this nation should commit itself to achieving the goal, before this decade is out, of landing a man on the moon and returning him safely to the Earth. This was the goal of the Apollo project. Which one of these rockets was used to launch the Apollo spacecraft?\n'
 '^ Saturn\n' 'A Titan\n' 'B Atlas\n' 'C Saturn\n' 'D Ariane\n']"
"#Q The project of the Soviet Union, that aimed at the Moon, was the Luna programme. Although all of the Luna missions were unmanned, they were pioneers in many space explorations. Which one of these missions was the first to take pictures of the far side of the Moon?
",Luna 3,"['#Q The project of the Soviet Union, that aimed at the Moon, was the Luna programme. Although all of the Luna missions were unmanned, they were pioneers in many space explorations. Which one of these missions was the first to take pictures of the far side of the Moon?\n'
 '^ Luna 3\n' 'A Luna 9\n' 'B Luna 2\n' 'C Luna 3\n' 'D Luna 12\n']"
"#Q Neil Armstrong, Edwin Aldrin and Bill Anders were the three astronauts on Apollo 11.
",False,"['#Q Neil Armstrong, Edwin Aldrin and Bill Anders were the three astronauts on Apollo 11.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q On October 24, 1960 a rocket exploded on a launchpad at Baikonur Cosmodrome and caused the death of over 100 military personnel, engineers, and technicians.  While once thought to have been space related, it later became known that the accident was connected with the development of a new Intercontinental Ballistic Missile. The incident was covered up by the Soviet government and did not emerge until the 1990s.   What is this incident known as?\n']"
"#Q On October 24, 1960 a rocket exploded on a launchpad at Baikonur Cosmodrome and caused the death of over 100 military personnel, engineers, and technicians.  While once thought to have been space related, it later became known that the accident was connected with the development of a new Intercontinental Ballistic Missile. The incident was covered up by the Soviet government and did not emerge until the 1990s.   What is this incident known as?
",Nedelin catastrophe,"['#Q On October 24, 1960 a rocket exploded on a launchpad at Baikonur Cosmodrome and caused the death of over 100 military personnel, engineers, and technicians.  While once thought to have been space related, it later became known that the accident was connected with the development of a new Intercontinental Ballistic Missile. The incident was covered up by the Soviet government and did not emerge until the 1990s.   What is this incident known as?\n'
 '^ Nedelin catastrophe\n' 'A R-16 conspiracy\n' 'B Korolev disaster\n'
 'C Yangel incident\n' 'D Nedelin catastrophe\n']"
"#Q The Apollo project suffered some serious setbacks. Apollo 13 was supposed to be the third manned mission to land on the Moon. However, when the spacecraft was 321,860 km (199,994.5 miles) away from the Earth, an accident took place. The mission was canceled and the crew returned to Earth, proving that the spacecraft was capable of dealing with major crisis. What was the cause of this accident.
",Explosion of one of the oxygen tanks,"['#Q The Apollo project suffered some serious setbacks. Apollo 13 was supposed to be the third manned mission to land on the Moon. However, when the spacecraft was 321,860 km (199,994.5 miles) away from the Earth, an accident took place. The mission was canceled and the crew returned to Earth, proving that the spacecraft was capable of dealing with major crisis. What was the cause of this accident.\n'
 '^ Explosion of one of the oxygen tanks\n'
 'A Problem with the main engine\n' 'B Meteoroid impact\n'
 'C Explosion of one of the oxygen tanks\n'
 'D Problem with the auxiliary thrusters\n']"
"#Q The mission of Luna 24 was to collect soil samples from the Moon.
",True,"['#Q The mission of Luna 24 was to collect soil samples from the Moon.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q This was the first joint flight of the two rivals in the race to the Moon. It was also the first international manned spaceflight. A Soviet and an American spacecraft were joined to test the compatibility of their rendezvous and docking systems.\n']"
"#Q This was the first joint flight of the two rivals in the race to the Moon. It was also the first international manned spaceflight. A Soviet and an American spacecraft were joined to test the compatibility of their rendezvous and docking systems.
",Apollo-Soyuz,"['#Q This was the first joint flight of the two rivals in the race to the Moon. It was also the first international manned spaceflight. A Soviet and an American spacecraft were joined to test the compatibility of their rendezvous and docking systems.\n'
 '^ Apollo-Soyuz\n' 'A Apollo-Soyuz\n' 'B Apollo-Luna\n'
 'C Mercury-Salyut\n' 'D Gemini-Voskhod\n']"
"#Q Napoleon started his military career in the cavalry.
",False,"['#Q Napoleon started his military career in the cavalry.\n' '^ False\n'
 'A False\n' 'B True\n' '\n' '#Q This was Napoleons perfect battle.\n']"
"#Q This was Napoleons perfect battle.
",Austerlitz,"['#Q This was Napoleons perfect battle.\n' '^ Austerlitz\n'
 'A Friedland\n' 'B Jena\n' 'C Waterloo\n' 'D Austerlitz\n']"
"#Q Napoleon Bonaparte usually wore a uniform of the following rank.
",Colonel,"['#Q Napoleon Bonaparte usually wore a uniform of the following rank.\n'
 '^ Colonel\n' 'A King\n' 'B Colonel\n' 'C General\n' 'D Marshal\n']"
"#Q Napoleon Bonaparte had no children to succeed him.
",False,"['#Q Napoleon Bonaparte had no children to succeed him.\n' '^ False\n'
 'A True\n' 'B False\n' '\n'
 '#Q Napoleon Bonapartes body still lies in Saint Helena, where he was buried.\n']"
"#Q Napoleon Bonapartes body still lies in Saint Helena, where he was buried.
",False,"['#Q Napoleon Bonapartes body still lies in Saint Helena, where he was buried.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q This Mameluke was Napoleons constant attendant.\n']"
"#Q This Mameluke was Napoleons constant attendant.
",Roustam,"['#Q This Mameluke was Napoleons constant attendant.\n' '^ Roustam\n'
 'A Roustam\n' 'B Tommy\n' 'C Karageorgio\n' 'D Maltesta\n']"
"#Q In 79 BC, a major cloud appeared over mount Vesuvius. The eruption that would follow, would forever be linked to the demise of Pompeji. However, this was not the only city buried beneath ash and mud. What other town was devastated by the eruption?
",Herculaneum,"['#Q In 79 BC, a major cloud appeared over mount Vesuvius. The eruption that would follow, would forever be linked to the demise of Pompeji. However, this was not the only city buried beneath ash and mud. What other town was devastated by the eruption?\n'
 '^ Herculaneum\n' 'A Herculaneum\n' 'B Napoli\n' 'C Misenum\n'
 'D Stabiae\n']"
"#Q This 1755 disaster was widely believed to be Gods wrath. After this disaster, the Inquisition came down even harder on the non-believers. In Spain and Portugal non-Catholics were forced to baptize, in England and Sweden official days of fasting were proclaimed. Voltaire mentioned this disaster in his Novel Candide.
",The Lisbon Earthquake,"['#Q This 1755 disaster was widely believed to be Gods wrath. After this disaster, the Inquisition came down even harder on the non-believers. In Spain and Portugal non-Catholics were forced to baptize, in England and Sweden official days of fasting were proclaimed. Voltaire mentioned this disaster in his Novel Candide.\n'
 '^ The Lisbon Earthquake\n' 'A The Lisbon Earthquake\n'
 'B The Black Plague\n' 'C The fall of Constantinople\n'
 'D Famine due to poor harvests\n']"
"#Q This disaster, which took place in 1883, caused a tsunami with up to 50 m high waves. It struck the coasts of Java and Sumatra, flooding approximately 300 towns and killing 36.000 people. What was the direct cause?
",The Explosion of Krakatau,"['#Q This disaster, which took place in 1883, caused a tsunami with up to 50 m high waves. It struck the coasts of Java and Sumatra, flooding approximately 300 towns and killing 36.000 people. What was the direct cause?\n'
 '^ The Explosion of Krakatau\n' 'A The Explosion of Krakatau\n'
 'B Earth/Sea Quake\n' 'C Extreme tides\n' 'D Nucleair testing\n']"
"#Q The famous rhyme I had a little bird. Its name was Enza. I opened the window. And In-flew-Enza refers to what disaster?
",The Spanish Flu,"['#Q The famous rhyme I had a little bird. Its name was Enza. I opened the window. And In-flew-Enza refers to what disaster?\n'
 '^ The Spanish Flu\n' 'A The Sleeping Disease\n' 'B Ebola\n'
 'C The Spanish Flu\n' 'D The Bird flu\n']"
"#Q In the year 1770, the worst ever famine in history struck this region, considered to be one of the most densely populated areas on Earth.
",Bengal,"['#Q In the year 1770, the worst ever famine in history struck this region, considered to be one of the most densely populated areas on Earth.\n'
 '^ Bengal\n' 'A Indonesia\n' 'B Bengal\n' 'C China\n' 'D India\n']"
"#Q In 1931 a big flood hit this country/area causing the deaths of approximately 850.000 - 4.000.000 people.
",The Yellow River flooding - China,"['#Q In 1931 a big flood hit this country/area causing the deaths of approximately 850.000 - 4.000.000 people.\n'
 '^ The Yellow River flooding - China\n'
 'A The flooding of the Volga - Russia\n' 'B Tsunami - Indonesia\n'
 'C The flooding of the Nile - Egypt\n'
 'D The Yellow River flooding - China\n']"
"#Q In 1991, a cyclone, unofficially known as Cyclone Gorky, struck this country leaving at least 138.000 people dead.
",Bangladesh,"['#Q In 1991, a cyclone, unofficially known as Cyclone Gorky, struck this country leaving at least 138.000 people dead.\n'
 '^ Bangladesh\n' 'A China\n' 'B Bangladesh\n' 'C Srilanka\n'
 'D Indonesia\n']"
"#Q What caused the Queen of the Sea train disaster which killed 1700 passengers?
",After the 2004 Earthquake and subsequent Tsunami this train was washed away from a Srilankan coastal track.,"['#Q What caused the Queen of the Sea train disaster which killed 1700 passengers?\n'
 '^ After the 2004 Earthquake and subsequent Tsunami this train was washed away from a Srilankan coastal track.\n'
 'A Two trains collided on the Tokaido Main Line in Yokohama, Japan.\n'
 'B After the 2004 Earthquake and subsequent Tsunami this train was washed away from a Srilankan coastal track.\n'
 'C The brakes on an overfilled troop train returning from the front in 1917could not take the weight of the many wagons.\n'
 'D A cyclone hit the train in Bihar, India, while it was crossing a bridge. It derailed and plunged into the river below.\n']"
"#Q General Ishii Shiros name is often connected with his experiments with germs and bio-weapons. Which one of the following is the correct name of the headquarters of the Japanese Biological Warfare Unit 731 during World War II?
",Pingfan,"['#Q General Ishii Shiros name is often connected with his experiments with germs and bio-weapons. Which one of the following is the correct name of the headquarters of the Japanese Biological Warfare Unit 731 during World War II?\n'
 '^ Pingfan\n' 'A Pangfen\n' 'B Pingfen\n' 'C Pingfan\n' 'D Pangfan\n']"
"#Q General Dwight Eisenhower headed an operation whose aim was to gain control of Morocco and Algiers. What was the name of the operation?
",Operation Torch,"['#Q General Dwight Eisenhower headed an operation whose aim was to gain control of Morocco and Algiers. What was the name of the operation?\n'
 '^ Operation Torch\n' 'A Operation Torchlight\n' 'B Operation Torch\n'
 'C Operation Lantern\n' 'D Operation Cresset\n']"
"#Q Hitler promoted General Friedrich Paulus in February 1943, in an attempt to lift his spirits. What was his promotion?
",Field Marshal,"['#Q Hitler promoted General Friedrich Paulus in February 1943, in an attempt to lift his spirits. What was his promotion?\n'
 '^ Field Marshal\n' 'A Senior Marshal\n' 'B Senior Field Marshal\n'
 'C Field Marshal\n' 'D Marshal\n']"
"#Q General Erwin Rommel led German forces during World War II. Which of the following countries was his battlefield?
",All of these countries,"['#Q General Erwin Rommel led German forces during World War II. Which of the following countries was his battlefield?\n'
 '^ All of these countries\n' 'A Libya\n' 'B All of these countries\n'
 'C France\n' 'D Poland\n']"
"#Q The following words belong to which famous World War II general: Crete was the grave of the German parachutists.â€�?
",General Kurt Student,"['#Q The following words belong to which famous World War II general: Crete was the grave of the German parachutists.â€�?\n'
 '^ General Kurt Student\n' 'A General Henri Giraud\n'
 'B General Friedrich Paulus\n' 'C General Kurt Student\n'
 'D General Erwin Rommel\n']"
"#Q General Jacques Leclercs division received the surrender of the German forces at the Gare Montparnasse and liberated Paris on what date?
",25 August 1944,"['#Q General Jacques Leclercs division received the surrender of the German forces at the Gare Montparnasse and liberated Paris on what date?\n'
 '^ 25 August 1944\n' 'A 25 August 1944\n' 'B 11 August 1944\n'
 'C 19 August 1944\n' 'D 15 August 1944\n']"
"#Q Which of the following names is a name of a French general during World War II?
",Henri Giraud,"['#Q Which of the following names is a name of a French general during World War II?\n'
 '^ Henri Giraud\n' 'A Henri Giraud\n' 'B Arnaud Giraud\n'
 'C Jean Giraud\n' 'D Oliver Giraud\n']"
