Question,Answer,Options,Correct
"the q train leaves station a moving at a constant speed , and passes by stations b and c , in this order . it takes the q train 7 hours to reach station b , and 5 additional hours to reach station c . the distance between stations a and b is m kilometers longer than the distance between stations b and c . what is the distance between stations a and c in terms of m ?",6,"a ) 1.8 m , b ) 6 m , c ) 7 m , d ) 9 m , e ) 12 m",b
what is the area of a square field whose sides have a length of 12 meters ?,144,"a ) 225 sq m , b ) 126 sq m , c ) 144 sq m , d ) 267 sq m , e ) 231 sq m",c
"if 4 a – 2 b – 2 c = 32 and √ 3 a - √ ( 2 b + 2 c ) = 4 , what is the value of a + b + c ?",12,"a ) 3 , b ) 9 , c ) 10 , d ) 12 , e ) 14",d
a room is 6 meters 24 centimeters in length and 4 meters 32 centimeters in width . find the least number of square tiles of equal size required to cover the entire floor of the room .,117,"a ) 107 , b ) 117 , c ) 127 , d ) 137 , e ) 147",b
"how many integers are between 8 and 122 / 7 , inclusive ?",10,"a ) 8 , b ) 10 , c ) 12 , d ) 15 , e ) 16",b
"there are 60 supermarkets in the fgh chain . all of them are either in the us or canada . if there are 14 more fgh supermarkets in the us than in canada , how many fgh supermarkets are there in the us ?",37,"a ) 20 , b ) 37 , c ) 42 , d ) 53 , e ) 64",b
"a man sitting in a train which is traveling at 50 kmph observes that a goods train , traveling in opposite direction , takes 9 seconds to pass him . if the goods train is 280 m long , find its speed . ?",62,"a ) 50 kmph , b ) 58 kmph , c ) 62 kmph , d ) 65 kmph , e ) 75 kmph",c
"the cricket team of 11 members is 26 yrs old & the wicket keeper is 3 yrs older . if the ages ofthese 2 are excluded , the average age of the remainingplayers is 1 year less than the average age of the whole team . what is the average age of the team ?",23,"a ) 18 , b ) 21 , c ) 23 , d ) 25 , e ) 27",c
the true discount on a bill of rs . 2160 is rs . 360 . what is the banker ' s discount ?,432,"a ) rs . 432 , b ) rs . 422 , c ) rs . 412 , d ) rs . 442 , e ) none of these",a
the average of first six prime numbers which are between 50 and 90 is,64,"a ) 35.4 , b ) 42 , c ) 45.7 , d ) 64 , e ) 67",d
"if 0.5 % of a = 85 paise , then the value of a is ?",170,"a ) rs . 170 , b ) rs . 17 , c ) rs . 1.70 , d ) rs . 4.25 , e ) none",a
"suganya and suriya are partners in a business . suganya invests rs . 15,000 for 8 months and suriya invests rs . 42,000 for 10 months . out of a profit of rs . 31,570 . suganya ' s share is",18,"a ) rs . 9471 , b ) rs . 12,628 , c ) rs . 18,040 , d ) rs . 7015.56 , e ) none",d
find the compound interest on $ 1200 for 5 years at 20 % p . a . if ci is component yearly ?,1786,"a ) $ 120 , b ) $ 150 , c ) $ 1786 , d ) $ 250 , e ) $ 300",c
"a person want to give his money of $ 15800 to his 4 children a , b , c , d in the ratio 5 : 9 : 6 : 5 . what is the a + c share ?",6952,"a ) $ 4000 , b ) $ 2890 , c ) $ 3005 , d ) $ 6952 , e ) $ 6003",d
a certain class of students is being divided into teams . the class can either be divided into 12 teams with an equal number of players on each team or 24 teams with an equal number of players on each team . what is the lowest possible number of students in the class ?,24,"a ) 24 , b ) 36 , c ) 48 , d ) 60 , e ) 72",a
"a group of 6 children and 10 adults are going to the zoo . child tickets cost $ 10 , and adult tickets cost $ 16 . how much will the zoo tickets cost in all ?",220,"a ) $ 220 , b ) $ 340 , c ) $ 150 , d ) $ 100 , e ) $ 120",a
"the sum of the squares of three numbers is 138 , while the sum of their products taken two at a time is 131 . find the sum ?",20,"a ) 30 , b ) 15 , c ) 40 , d ) 45 , e ) 20",e
"divide rs . 1200 among a , b and c so that a receives 1 / 3 as much as b and c together and b receives 2 / 3 as a and c together . a ' s share is ?",300,"a ) s . 800 , b ) s . 400 , c ) s . 600 , d ) s . 500 , e ) s . 300",e
tourist purchased a total of 30 travelers checks in $ 50 and $ 100 denominations . the total worth of the travelers checks is $ 1800 . how many checks of $ 50 denominations can he spend so that average amount ( arithmetic mean ) of the remaining travelers checks is $ 62.5 ?,6,"a ) 6 , b ) 12 , c ) 15 , d ) 20 , e ) 24",a
what will be the compound interest on rs . 40000 after 3 years at the rate of 12 % per annum,16197.12,"a ) rs 16123.20 , b ) rs 16123.30 , c ) rs 16197.12 , d ) rs 16123.50 , e ) none of these",c
how many pieces of 75 cm can be cut from a rope 54 meters long ?,72,"a ) 30 , b ) 40 , c ) 60 , d ) 72 , e ) can not be determined",d
"the average weight of 10 oarsmen in a boat is increased by 1.8 kg when one of the crew , who weight 53 kg is replaced by a new man . find the weight of the new man .",71,"a ) 59 kg , b ) 62 kg , c ) 74 kg , d ) 85 kg , e ) 71 kg",e
"in a rectangular coordinate system , what is the area of a rhombus whose vertices have the coordinates ( 0 , 3.5 ) , ( 7 , 0 ) , ( 0 , - 3.5 ) , ( - 7 , 0 ) ?",49,"a ) 56 , b ) 88 , c ) 112 , d ) 49 , e ) 120",d
"how many multiples of 13 are less than 6000 , and also multiples of 16 ?",29,"a ) 30 , b ) 29 , c ) 34 , d ) 32 , e ) 33",b
a man is walking at the rate of 7 km / hr crosses a bridge in 15 minutes . the length of the bridge is,1750,"a ) 1000 meters , b ) 1050 meters , c ) 1200 meters , d ) 1750 meters , e ) none of these",d
"if two sides of a triangle are 6 and 13 , respectively , which of the following could not be the area of this triangle ?",40,"['a ) 40', 'b ) 6', 'c ) 17', 'd ) 29', 'e ) 38']",a
average expenditure of a person for the first 3 days of a week is rs . 350 and for the next 4 days is rs . 420 . average expenditure of the man for the whole week is :,390,"a ) 350 , b ) 370 , c ) 390 , d ) 430 , e ) none",c
compound interest of rs . 1000 at 10 % per annum for 1 1 / 2 years will be ( interest compounded half yearly ) .,157,"a ) rs . 473 , b ) rs . 374 , c ) rs . 495 , d ) rs . 157 , e ) none of the above",d
"4,25 , 49,121 , 169,289 , 361,529 ,",841,"a ) 149 , b ) 169 , c ) 841 , d ) 920 , e ) 219",c
susan drove an average speed of 30 miles per hour for the first 40 miles of a trip then at a average speed of 15 miles / hr for the remaining 40 miles of the trip if she made no stops during the trip what was susan ' s avg speed in miles / hr for the entire trip,20,"a ) 35 , b ) 20 , c ) 45 , d ) 50 , e ) 55",b
"if 25 % of x is 15 less than 15 % of 1500 , then x is ?",840,"a ) 720 , b ) 750 , c ) 820 , d ) 840 , e ) 860",d
"two good train each 250 m long , are running in opposite directions on parallel tracks . their speeds are 45 km / hr and 30 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one .",24,"a ) 12 sec , b ) 24 sec , c ) 48 sec , d ) 60 sec , e ) none",b
"a is a working partner and b is a sleeping partner in the business . a puts in rs . 3500 and b rs . 1500 , a receives 10 % of the profit for managing the business the rest being divided in proportion of their capitals . out of a total profit of rs . 9600 , money received by a is ?",7008,"a ) 1978 , b ) 2707 , c ) 7728 , d ) 7008 , e ) 7291",d
"after 10 % of the inhabitants of a village disappeared , a panic set in during which 25 % of the remaining inhabitants left the village . at that time , the population was reduced to 4725 . what was the number of original inhabitants ?",7000,"a ) 5000 , b ) 7000 , c ) 4000 , d ) 8000 , e ) 9000",b
"if a car went the first third of the distance at 10 kmh , the second third at 24 kmh , and the last third at 48 kmh , what was the average speed of the car for the entire trip ?",19,"a ) 36 kmh , b ) 19 kmh , c ) 42 kmh , d ) 44 kmh , e ) 50 kmh",b
"a college has classes from 10 : 00 am until 1 : 40 pm . in this duration , there are 5 periods . if 5 minutes are provided between each period to leave one class and enter the next class , how many minutes long is each period ?",40,"a ) 38 min , b ) 41 min , c ) 40 min , d ) 42 min , e ) 52 min",c
"a card game called “ high - low ” divides a deck of 52 playing cards into 2 types , “ high ” cards and “ low ” cards . there are an equal number of “ high ” cards and “ low ” cards in the deck and “ high ” cards are worth 2 points , while “ low ” cards are worth 1 point . if you draw cards one at a time , how many ways can you draw “ high ” and “ low ” cards to earn 5 points if you must draw exactly 3 “ low ” cards ?",4,"a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",d
"john distributes his pencil among his 4 friends rose , mary , ranjan , and rohit in the ratio 1 / 2 : 1 / 3 : 1 / 3 : 1 / 5 . what is the minimum no . of pencils that the person should have ?",41,"a ) 41 , b ) 65 , c ) 70 , d ) 77 , e ) 98",a
the jogging track in a sports complex is 726 meters in circumference . deepak and his wife start from the same point and walk in opposite directions at 4.5 km / hr and 3.75 km / hr respectively . they will meet for the first time in ?,528,"a ) 450 min , b ) 528 min , c ) 610 min , d ) 714 min , e ) 359 min",b
"there are , in a certain league , 10 teams , and each team face another team for a total of 10 times . how many games are played in the season ?",1000,"a ) 1000 , b ) 450 , c ) 720 , d ) 180 , e ) 400",a
"in 10 years , a will be twice as old 5 as b was 10 years ago . if a is now 8 years older than b , the present age of b is",38,"a ) 35 , b ) 37 , c ) 38 , d ) 41 , e ) 42",c
"an assembly line produces 36 cogs per hour until an initial order of 60 cogs is completed . the speed of the assembly line is then immediately increased so that it can produce 60 cogs per hour until another 60 cogs are produced . what is the overall average output , in cogs per hour , for the assembly line during this whole time ?",45,"a ) 38 , b ) 40 , c ) 42 , d ) 45 , e ) 50",d
if the number is decreased by 5 and divided by 7 the result is 7 . what would be the result if 2 is subtracted and divided by 13 ?,4,"a ) 4 , b ) 7 , c ) 8 , d ) 5 , e ) 3",a
"a ladder 14 feet long is leaning against a wall that is perpendicular to level ground . the bottom of the ladder is 5 feet from the base of the wall . if the top of the ladder slips down 4 feet , how many feet will the bottom of the ladder slip ?",10.72,"a ) 4 , b ) 5 , c ) 8 , d ) 10.72 , e ) 15",d
find the simple interest on rs . 78000 at 15 ( 2 / 5 ) % per annum for 9 months .,9009,"a ) rs . 9009 , b ) rs . 9008 , c ) rs . 9002 , d ) rs . 9202 , e ) rs . 9001",a
"how many different pairs of positive integers ( a , b ) satisfy the equation 1 / a + 1 / b = 32 / 51 ?",2,"a ) 6 , b ) 3 , c ) 2 , d ) 1 , e ) 0",c
"a , b and c rents a pasture for rs . 870 . a put in 12 horses for 8 months , b 16 horses for 9 months and 18 horses for 6 months . how much should b pay ?",360,"a ) 360 , b ) 227 , c ) 268 , d ) 198 , e ) 176",a
the surface area of a sphere is same as the curved surface area of a right circular cylinder whose height and diameter are 6 cm each . the radius of the sphere is,3,"a ) 3 cm , b ) 4 cm , c ) 6 cm , d ) 8 cm , e ) none",a
"the speed of a railway engine is 96 km per hour when no compartment is attached , and the reduction in speed is directly proportional to the square root of the number of compartments attached . if the speed of the train carried by this engine is 24 km per hour when 9 compartments are attached , the maximum number of compartments that can be carried by the engine is :",16,"a ) 19 , b ) 18 , c ) 16 , d ) 17 , e ) 14",c
average of money that group of 4 friends pay for rent each month is $ 800 . after one persons rent is increased by 20 % the new mean is $ 870 . what was original rent of friend whose rent is increased ?,1400,"a ) 800 , b ) 1400 , c ) 1000 , d ) 1100 , e ) 1200",b
"the average mark of the students of a class in a particular exam is 90 . if 3 students whose average mark in that exam is 40 are excluded , the average mark of the remaining will be 95 . find the number of students who wrote the exam ?",33,"a ) 25 , b ) 35 , c ) 23 , d ) 22 , e ) 33",e
"machine a and machine b process the same work at different rates . machine c processes work as fast as machines a and b combined . machine d processes work 3 times as fast as machine c ; machine d ’ s work rate is also exactly 4 times machine b ’ s rate . assume all 4 machines work at fixed unchanging rates . if machine a works alone on a job , it takes 7 hours . if all 4 machines work together on the same job simultaneously , how many minutes will it take all of them to complete it ?",21,"a ) 8 , b ) 21 , c ) 24 , d ) 27 , e ) 30",b
in a company the manager wants to give some gifts to all of the workers . in each block there are about 200 workers are there . the total amount for giving the gifts for all the workers is $ 6000 . the worth of the gift is 2 $ . how many blocks are there in the company ?,15,"a ) 10 , b ) 12 , c ) 18 , d ) 20 , e ) 15",e
a 300 meter long train crosses a platform in 48 seconds while it crosses a signal pole in 18 seconds . what is the length of the platform ?,500,"a ) 500 , b ) 289 , c ) 350 , d ) 882 , e ) 281",a
"from january 1 , 2015 , to january 1 , 2017 , the number of people enrolled in health maintenance organizations increased by 12 percent . the enrollment on january 1 , 2017 , was 45 million . how many million people , to the nearest million , were enrolled in health maintenance organizations on january 1 , 2015 ?",40,"a ) 38 , b ) 39 , c ) 40 , d ) 41 , e ) 42",c
"what is the average ( arithmetic mean ) of the numbers 100 , 150 , 200 , 200 , 250 , and 300 ?",200,"a ) 100 , b ) 150 , c ) 140 , d ) 200 , e ) 250",d
andrew purchased 14 kg of grapes at the rate of 54 per kg and 10 kg of mangoes at the rate of 62 per kg . how much amount did he pay to the shopkeeper ?,1376,"a ) 1000 , b ) 1376 , c ) 1456 , d ) 1900 , e ) 1566",b
two trains move in the same direction at speeds 50 kmph and 32 kmph respectively . a man in the slower train observes that 15 seconds elapse before the faster train completely passes by him . what is the length of faster train ?,75,"a ) 100 m , b ) 75 m , c ) 120 m , d ) 50 m , e ) 70 m",b
jacob is 39 years old . he is 3 times as old as his brother . how old will jacob be when he is twice as old ?,65,"a ) 63 , b ) 64 , c ) 65 , d ) 76 , e ) 67",c
how many seconds will a train 100 meters long take to cross a bridge 150 meters long if the speed of the train is 42 kmph ?,21.4,"a ) 21.4 sec , b ) 77 sec , c ) 25 sec , d ) 18 sec , e ) 17 sec",a
two cars of length 120 m and 280 m are running towards each other on parallel lines at 42 kmph and 30 kmph respectively . in what time will they be clear of each other from the moment they meet ?,20,"a ) 10 sec , b ) 30 sec , c ) 40 sec , d ) 20 s , e ) 50 sec",d
a student is ranked 6 th from right and 5 th from left . how many students are there in totality ?,10,"a ) 10 , b ) 19 , c ) 20 , d ) 21 , e ) 22",a
"if 6 men can reap 60 acres of land in 10 days , how many acres of land can 12 men reap in 20 days ?",240,"a ) 120 , b ) 360 , c ) 240 , d ) 182 , e ) 1000",c
solve for x and check : 15 x = 165,165,"a ) 98 , b ) 165 , c ) 180 , d ) 253 , e ) none of these",b
if ram and gohul can do a job in 10 days and 15 days independently . how many days would they take to complete the same job working simultaneously ?,6,"a ) 5 , b ) 8 , c ) 4 , d ) 7 , e ) 6",e
what will be the difference between simple and compound interest at 8 % per annum on a sum of rs . 1000 after 4 years ?,40.5,"a ) 64.19 , b ) 64.12 , c ) 40.5 , d ) 64.1 , e ) 64.11",c
"a motorcyclist started riding at highway marker a , drove 120 miles to highway marker b , and then , without pausing , continued to highway marker c , where she stopped . the average speed of the motorcyclist , over the course of the entire trip , was 40 miles per hour . if the ride from marker a to marker b lasted 3 times as many hours as the rest of the ride , and the distance from marker b to marker c was half of the distance from marker a to marker b , what was the average speed , in miles per hour , of the motorcyclist while driving from marker b to marker c ?",67.5,"a ) 40 , b ) 45 , c ) 50 , d ) 55 , e ) 67.5",e
"company x sells a selection of products at various price points . listed below are unit sales made for one particular day . how many unit sales on that day were greater than the mean sale price but less than the median sale price ? $ 50 , $ 50 , $ 97 , $ 97 , $ 97 , $ 120 , $ 125 , $ 155 , $ 199 , $ 199 , $ 239",1,"a ) 0 , b ) 1 , c ) 2 , d ) 3 , e ) 4",b
the average age of an adult class is 40 years . 15 new students with an avg age of 32 years join the class . therefore decreasing the average by 4 year . find what was theoriginal strength of class ?,15,"a ) 8 , b ) 12 , c ) 15 , d ) 17 , e ) 18",c
"find two integers , neither of which ends in a zero , and whose product is exactly 00000",25,"a ) 64 and 15,625 , b ) 32 and 3,125 , c ) 64 and 15,620 , d ) 64 and 15,635 , e ) 64 and 16,625",b
"set a consists of the integers from 4 to 15 , inclusive , while set b consists of the integers from 6 to 20 , inclusive . how many distinct integers do belong to the both sets at the same time ?",10,"a ) 5 , b ) 7 , c ) 8 , d ) 9 , e ) 10",e
"a soccer store typically sells replica jerseys at a discount of 30 percent to 50 percent off list price . during the annual summer sale , everything in the store is an additional 20 percent off the original list price . if a replica jersey ' s list price is $ 80 , approximately what percent q of the list price is the lowest possible sale price ?",40,"a ) 20 , b ) 25 , c ) 30 , d ) 40 , e ) 50",d
how many two - digit numbers yield a remainder of 1 when divided by both 4 and 17 ?,1,"a ) 0 , b ) 1 , c ) 2 , d ) 3 , e ) 4",b
"the cost of an article is decreased by 20 % . if the original cost is $ 120 , find the decrease cost .",96,"a ) 33 , b ) 11 , c ) 96 , d ) 36 , e ) 91",c
"a cylinder with 6 meter radius and 12 meter height is filled to capacity with water . if the content of the cylinder is used to fill several smaller cylinders of 4 meter diameter and 8 meter height , how many smaller cylinders will be filled to capacity ?",13,"['a ) 13', 'b ) 12', 'c ) 4', 'd ) 16', 'e ) 18']",a
sonika deposited rs . 12000 which amounted to rs . 19500 after 4 years at simple interest . had the interest been 3 % more . she would get how much ?,20940,"a ) 20940 , b ) 21009 , c ) 23000 , d ) 23450 , e ) 30000",a
"8 k 8 + k 88 - - - - - - - - 16 y 6 if k and y represent non - zero digits within the integers above , what is y ?",6,"a ) 6 , b ) 7 , c ) 8 , d ) 9 , e ) 17",a
"a rectangular garden is to be twice as long as it is wide . if 900 yards of fencing , including the gate , will completely enclose the garden , what will be the length of the garden , in yards ?",300,"a ) 40 , b ) 50 , c ) 60 , d ) 200 , e ) 300",e
"if x is an integer and 2.134 × 10 ^ x is less than 2 , 100,000 , what is the greatest possible value for x ?",5,"a ) 7 , b ) 6 , c ) 5 , d ) 4 , e ) 3",c
"in a manufacturing plant , it takes 36 machines 8 hours of continuous work to fill 8 standard orders . at this rate , how many hours of continuous work by 72 machines are required to fill 12 standard orders ?",6,"a ) 3 , b ) 6 , c ) 8 , d ) 9 , e ) 12",b
what is the smallest positive integer x such that 864 x is the cube of a positive integer,2,"a ) 6 , b ) 12 , c ) 9 , d ) 5 , e ) 2",e
"at the beginning of the year , the ratio of boys to girls in high school x was 3 to 4 . during the year , 10 boys and twice as many girls transferred to another high school , while no new students joined high school x . if , at the end of the year , the ratio of boys to girls was 4 to 5 , how many boys were there in high school x at the beginning of the year ?",120,"a ) 70 , b ) 120 , c ) 100 , d ) 90 , e ) 110",b
the total number of digits used in numbering the pages of a book having 360 pages is,972,"a ) 972 , b ) 990 , c ) 1098 , d ) 1305 , e ) 1405",a
"222 , 224 , 228 , 234 , 242 , ( . . . . )",252,"a ) 260 , b ) 258 , c ) 252 , d ) 250 , e ) 244",c
"a 2000 liter tank , half - full of water is being filled from a pipe with a flow rate of 1 kiloliter every 2 minutes . at the same time , the tank is losing water from two drains at a rate of 1 kiloliter every 4 minutes and every 6 minutes . how many minutes does it take to fill the tank completely ?",12,"a ) 8 , b ) 12 , c ) 18 , d ) 24 , e ) 48",b
"share rs . 4800 among john , jose & binoy in the ration 2 : 4 : 6 . find the amount received by john ?",1600,"a ) 900 , b ) 980 , c ) 1600 , d ) 1240 , e ) 1400",c
"the total circumference of two circles is 25 . if the first circle has a circumference that is exactly twice the circumference of the second circle , then what is the approximate sum of their two radii ?",4.0,"a ) 5.7 , b ) 6.0 , c ) 4.0 , d ) 9.7 , e ) 18.0",c
"the length of a train and that of a platform are equal . if with a speed of 144 k / hr , the train crosses the platform in one minute , then the length of the train ( in meters ) is ?",1200,"a ) 757 , b ) 758 , c ) 718 , d ) 1200 , e ) 738",d
"the cost of 10 kg of mangos is equal to the cost of 24 kg of rice . the cost of 6 kg of flour equals the cost of 2 kg of rice . the cost of each kg of flour is $ 20.50 . find the total cost of 4 kg of mangos , 3 kg of rice and 5 kg of flour ?",877.4,"a ) 347.4 , b ) 987.4 , c ) 877.4 , d ) 637.4 , e ) 667.4",c
a is 1.5 times as fast as b . a alone can do the work in 30 days . if a and b working together in how many days will the work be completed ?,18,"a ) 23 , b ) 18 , c ) 21 , d ) 24 , e ) 25",b
a train running at 1 / 6 of its own speed reached a place in 24 hours . how much time could be saved if the train would have run at its own speed ?,20,"a ) 8 hrs , b ) 20 hrs , c ) 12 hrs , d ) 15 hrs , e ) 6 hrs",b
"a watch was sold at a loss of 10 % . if it was sold for rs . 168 more , there would have been a gain of 4 % . what is the cost price ?",1200,"a ) s : 1000 , b ) s : 1067 , c ) s : 1200 , d ) s : 1028 , e ) s : 1027",c
"a pump can fill a tank with a water in 2 hours . because of a leak , it took 3 hours to fill the tank . the leak can drain all the water of the full tank in how many hours ?",6,"a ) 2 , b ) 3 , c ) 4 , d ) 5 , e ) 6",e
"if each edge of a cube is doubled , then its volume :",8,"['a ) becomes 8 times', 'b ) becomes 9 times', 'c ) is double', 'd ) becomes 6 times', 'e ) none']",a
"a started a business with an investment of rs . 70000 and after 6 months b joined him investing rs . 120000 . if the profit at the end of a year is rs . 52000 , then the share of a is ?",28000,"a ) s . 28028 , b ) s . 28000 , c ) s . 28003 , d ) s . 28029 , e ) s . 24029",b
"on a trip , a cyclist averaged 9 miles per hour for the first 18 miles and 10 miles per hour for the remaining 12 miles . if the cyclist returned immediately via the same route and took a total of 7.2 hours for the round trip , what was the average speed ( in miles per hour ) for the return trip ?",7.5,"a ) 6.9 , b ) 7.2 , c ) 7.5 , d ) 7.8 , e ) 8.1",c
"when positive integer n is divided by 5 , the remainder is 1 . when n is divided by 7 , the remainder is 3 . what is the smallest positive integer k such that k + n is a multiple of 38 ?",7,"a ) 3 , b ) 4 , c ) 7 , d ) 32 , e ) 35",c
"jane started baby - sitting when she was 18 years old . whenever she baby - sat for a child , that child was no more than half her age at the time . jane is currently 34 years old , and she stopped baby - sitting 12 years ago . what is the current age of the oldest person for whom jane could have baby - sat ?",25,"a ) 20 , b ) 21 , c ) 22 , d ) 23 , e ) 25",e
