Question,Answer,Options,Correct
"a car gets 27 miles to the gallon . if it is modified to use a solar panel , it will use only 75 percent as much fuel as it does now . if the fuel tank holds 14 gallons , how many more miles will the car be able to travel , per full tank of fuel , after it has been modified ?",126,"a ) 120 , b ) 126 , c ) 132 , d ) 138 , e ) 144",b
"a fort had provision of food for 150 men for 45 days . after 10 days , 25 men left the fort . the number of days for which the remaining food will last , is :",42,"a ) 34 , b ) 387 , c ) 42 , d ) 28 , e ) 71",c
a person lent a certain sum of money at 4 % per annum at simple interest and in 8 years the interest amounted to rs . 306 less than the sum lent . what was the sum lent ?,450,"a ) 228 , b ) 278 , c ) 289 , d ) 500 , e ) 450",e
"a man has some hens and cows . if the number of heads be 50 and the number of feet equals 144 , then the number of hens will be",28,"a ) 22 , b ) 24 , c ) 26 , d ) 20 , e ) 28",e
"a watch was sold at a loss of 5 % . if it was sold for rs . 500 more , there would have been a gain of 5 % . what is the cost price ?",2788,"a ) 1000 , b ) 2998 , c ) 2778 , d ) 2788 , e ) 2991",d
a car travels at a speed of 65 miles per hour . how far will it travel in 6 hours ?,390,"a ) 125 miles , b ) 225 miles , c ) 390 miles , d ) 425 miles , e ) 525 miles",c
"in a family 13 people eat only vegetarian , 7 people eat only non veg . , 8 people eat both veg and non veg . . how many people eat veg in the family ?",21,"a ) 20 , b ) 11 , c ) 9 , d ) 31 , e ) 21",e
"if p / q = 4 / 5 , then the value of 11 / 7 + { ( 2 q - p ) / ( 2 q + p ) } is ?",2,"a ) 3 / 7 , b ) 34 , c ) 1 , d ) 2 , e ) 3",d
"if x ^ 2 + y ^ 2 = 13 and xy = 3 , then ( x − y ) ^ 2 =",7,"a ) 7 , b ) 11 , c ) 14 , d ) 17 , e ) 20",a
"a big container is 40 % full with water . if 14 liters of water is added , the container becomes 3 / 4 full . what is the capacity of the big container in liters ?",40,"a ) 32 , b ) 36 , c ) 40 , d ) 44 , e ) 48",c
a man swims downstream 96 km and upstream 40 km taking 8 hours each time ; what is the speed of the current ?,3.5,"a ) 3.5 kmph , b ) 1.5 kmph , c ) 13 kmph , d ) 6.5 kmph , e ) 7 : 3 kmph",a
vinoth can complete a painting work in 20 days . prakash can do the same work in 25 days . they start the work together but vinoth quit after 3 days of work . how many days are required to complete the remaining painting work by prakash .,18.25,"a ) 15.25 days , b ) 16.25 days , c ) 17.25 days , d ) 18.25 days , e ) 19.25 days",d
"the total cost of a vacation was divided among 3 people . if the total cost of the vacation had been divided equally among 5 people , the cost per person would have been $ 50 less . what was the total cost cost of the vacation ?",375,"a ) $ 200 , b ) $ 375 , c ) $ 400 , d ) $ 500 , e ) $ 600",b
how many ounces of a 60 % salt solution must be added to 30 ounces of a 20 percent salt solution so that the resulting mixture is 40 % salt ?,30,"a ) 16.67 , b ) 30 , c ) 50 , d ) 60.33 , e ) 70",b
"d and e are two points respectively on sides ab and ac of triangle abc such that de is parallel to bc . if the ratio of area of triangle ade to that of the trapezium decb is 144 : 25 and bc = 13 cm , then find the length of de .",14,"a ) 12 , b ) 13 , c ) 14 , d ) 11 , e ) 15",c
"working alone at its constant rate , machine a produces x boxes in 10 minutes and working alone at its constant rate , machine b produces 2 x boxes in 5 minutes . how many minutes does it take machines a and b , working simultaneously at their respective constant rates , to produce 10 x boxes ?",20,"a ) 13 minutes , b ) 14 minutes , c ) 15 minutes , d ) 16 minutes , e ) 20 minutes",e
"how many of the positive factors of 25 , 15 and how many common factors are there in numbers ?",2,"a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",b
"an electric pump can fill a tank in 10 hours . because of a leak in the tank , it took 20 hours to fill the tank . if the tank is full , how much time will the leak take to empty it ?",20,"a ) 10 hours , b ) 12 hours , c ) 20 hours , d ) 5 hours , e ) 15 hours",c
"for every even positive integer m , f ( m ) represents the product of all even integers from 2 to m , inclusive . for example , f ( 12 ) = 2 x 4 x 6 x 8 x 10 x 12 . what is the greatest prime factor of f ( 36 ) ?",17,"a ) 2 , b ) 5 , c ) 11 , d ) 17 , e ) 23",d
"pipe a can fill a tank in 10 hours . due to a leak at the bottom , it takes 15 hours for the pipe a to fill the tank . in what time can the leak alone empty the full tank ?",30,"a ) 76 , b ) 84 , c ) 56 , d ) 75 , e ) 30",e
what is the positive difference between the sum of the squares of the first 8 positive integers and the sum of the prime numbers between the first square and fourth square ?,163,"a ) 161 , b ) 162 , c ) 163 , d ) 164 , e ) 165",c
"the average age of 19 persons in a office is 15 years . out of these , the average age of 5 of them is 14 years and that of the other 9 persons is 16 years . the age of the 15 th person is ?",71,"a ) 9 , b ) 71 , c ) 85 , d ) 92 , e ) 90",b
"a pet store regularly sells pet food at a discount of 10 percent to 30 percent from the manufacturer ’ s suggested retail price . if during a sale , the store discounts an additional 20 percent from the discount price , what would be the lowest possible price of a container of pet food that had a manufacturer ’ s suggested retail price o f $ 40.00 ?",22.40,"a ) $ 10.00 , b ) $ 11.20 , c ) $ 22.40 , d ) $ 16.00 , e ) $ 18.00",c
"the perimeter of an equilateral triangle is 60 . if one of the sides of the equilateral triangle is the side of an isosceles triangle of perimeter 45 , then how long is the base of isosceles triangle ?",5,"a ) 5 units , b ) 10 units , c ) 15 units , d ) 20 units , e ) 25 units",a
"a small table has a length of 12 inches and a breadth of b inches . cubes are placed on the surface of the table so as to cover the entire surface . the maximum side of such cubes is found to be 4 inches . also , a few such tables are arranged to form a square . the minimum length of side possible for such a square is 80 inches . find b .",16,"['a ) 8', 'b ) 16', 'c ) 24', 'd ) 32', 'e ) 48']",b
. 003 / ? = . 01,3,"a ) . 3 , b ) . 09 , c ) . 009 , d ) . 0009 , e ) none of them",a
"if √ 10 = 3.16 , find the value of if √ 5 / 2",1.58,"a ) 1.3 , b ) 1.58 , c ) 2.03 , d ) 2.15 , e ) 3.15",b
"the length of a rectangular plot is 20 metres more than its breadth . if the cost of fencing the plot @ rs . 26.50 per metre is rs . 7420 , what is the length of the plot in metres ?",80,"a ) 20 , b ) 200 , c ) 300 , d ) 400 , e ) 80",e
30 men can do a work in 40 days . when should 12 men leave the work so that the entire work is completed in 40 days after they leave the work ?,18,"a ) 18 days , b ) 10 days , c ) 55 days , d ) 44 days , e ) 22 days",a
"carrie likes to buy t - shirts at the local clothing store . they cost $ 9.65 each . one day , she bought 12 t - shirts . how much money did she spend ?",115.8,"a ) $ 115.8 , b ) $ 248.75 , c ) $ 200 , d ) $ 171.6 , e ) $ 190",a
a train 110 m long is running with a speed of 30 km / h . in how many seconds will the train pass a man who is running at 3 km / h in the direction opposite to that in which the train is going ?,12,"a ) 6 , b ) 8 , c ) 10 , d ) 12 , e ) 14",d
"kanul spent $ 3000 in buying raw materials , $ 1000 in buying machinery and 30 % of the total amount he had as cash with him . what was the total amount ?",5714.28,"a ) $ 5825.16 , b ) $ 5725.26 , c ) $ 5714.28 , d ) $ 5912.52 , e ) $ 5614.46",c
"a sporting goods store sold 64 frisbees in one week , some for $ 3 and the rest for $ 4 each . if receipts from frisbee sales for the week totaled $ 204 , what is the fewest number of $ 3 frisbees that could have been sold ?",52,"a ) 24 , b ) 12 , c ) 8 , d ) 52 , e ) 2",d
"two trains 110 meters and 200 meters in length respectively are running in opposite directions , one at the rate of 80 km and the other at the rate of 65 kmph . in what time will they be completely clear of each other from the moment they meet ?",7.69,"a ) 4.85 , b ) 7.69 , c ) 6.85 , d ) 5.85 , e ) 6.15",b
how many 1 / 10 s are there in 37 1 / 2 ?,375,"a ) 375 , b ) 475 , c ) 500 , d ) 670 , e ) 700",a
"a circle graph shows how the megatech corporation allocates its research and development budget : 12 % microphotonics ; 24 % home electronics ; 15 % food additives ; 29 % genetically modified microorganisms ; 8 % industrial lubricants ; and the remainder for basic astrophysics . if the arc of each sector of the graph is proportional to the percentage of the budget it represents , how many degrees of the circle are used to represent basic astrophysics research ?",43,"a ) 43 ° , b ) 10 ° , c ) 18 ° , d ) 36 ° , e ) 52 °",a
"how much interest will $ 10,000 earn in 3 months at an annual rate of 6 % ?",150,"a ) $ 250 , b ) $ 150 , c ) $ 450 , d ) $ 550 , e ) $ 650",b
"how many different values of positive integer x , for which | x + 9 | < x , are there ?",3,"a ) 0 , b ) 2 , c ) 3 , d ) 8 , e ) 16",c
if the average of 10 consecutive integers is 21.5 then the 10 th integer is : -,26,"a ) 15 , b ) 20 , c ) 23 , d ) 26 , e ) 25",d
in filling a room with gas 100 m * 10 m * 10 m the volumes of gas will be ?,10000,"['a ) 100 cu . m', 'b ) 1000 cu . m', 'c ) 10000 cu . m', 'd ) 100000 cu . m', 'e ) 10000000 cu . m']",c
a train passes a station platform in 30 sec and a man standing on the platform in 12 sec . if the speed of the train is 54 km / hr . what is the length of the platform ?,270,"a ) 227 , b ) 240 , c ) 200 , d ) 178 , e ) 270",e
a right triangle is inscribed in a circle . the legs of the triangle have lengths 6 and 8 . what is the diameter of the circle ?,10,"['a ) 8', 'b ) 8 π', 'c ) 9 √ 3', 'd ) 10', 'e ) 12']",d
what is 15 percent of 64 ?,9.6,"a ) 7.2 , b ) 8.4 , c ) 9.6 , d ) 10.4 , e ) 11.8",c
"each week a restaurant serving mexican food uses the same volume of chili paste , which comes in either 55 - ounce cans or 15 - ounce cans of chili paste . if the restaurant must order 30 more of the smaller cans than the larger cans to fulfill its weekly needs , then how many larger cans are required to fulfill its weekly needs ?",15,"a ) 15 , b ) 28 , c ) 18 , d ) 24 , e ) 21",a
"for any positive integer n , the sum of the first n positive integers equals n ( n + 1 ) / 2 . what is the sum of all the even integers between 99 and 181 ?",5740,"a ) 3820 , b ) 5740 , c ) 6580 , d ) 7360 , e ) 9200",b
"a salesman â € ™ s terms were changed from a flat commission of 5 % on all his sales to a fixed salary of rs . 1000 plus 2.5 % commission on all sales exceeding rs . 4,000 . if his remuneration as per new scheme was rs . 800 more than that by the previous schema , his sales were worth ?",4,"a ) s . 4,000 , b ) s . 12,000 , c ) s . 30,000 , d ) s . 40,000 , e ) s . 50,000",a
"if k is an integer and 0.0010101 x 10 ^ k is greater than 10 , what is the least possible value of k ?",4,"a ) 2 , b ) 3 , c ) 4 , d ) 5 , e ) 6",c
"if a and b are positive integers and ( 3 ^ a ) ^ b = 3 ^ 3 , what is the value of 3 ^ a * 3 ^ b ?",81,"a ) 3 , b ) 9 , c ) 81 , d ) 27 , e ) 243",c
"a certain university will select 1 of 5 candidates eligible to fill a position in the mathematics department and 2 of 8 candidates eligible to fill 2 identical positions in the computer science department . if none of the candidates is eligible for a position in both departments , how many different sets of 3 candidates are there to fill the 3 positions ?",140,"a ) 138 , b ) 140 , c ) 142 , d ) 145 , e ) 148",b
"what will be the lcm of 8 , 24 , 36 and 54",216,"a ) 54 , b ) 108 , c ) 216 , d ) 432 , e ) none of these",c
a number exceeds by 35 from its 3 / 8 part . then the number is ?,56,"a ) a ) 56 , b ) b ) 35 , c ) c ) 39 , d ) d ) 40 , e ) e ) 45",a
"if 0.75 : x : : 5 : 6 , then x is equal to :",0.9,"a ) 1.12 , b ) 1.16 , c ) 1.2 , d ) 0.9 , e ) none of these",d
"two trains of equal lengths take 10 sec and 14 sec respectively to cross a telegraph post . if the length of each train be 120 m , in what time will they cross other travelling in opposite direction ?",11.7,"a ) 10 , b ) 12 , c ) 13 , d ) 11.7 , e ) 15",d
"in the coordinate plane , line a has a slope of - 1 and an x - intercept of 1 . line b has a slope of 4 and a y - intercept of - 4 . if the two lines intersect at the point ( a , b ) , what is the sum a + b ?",1,"a ) 0 , b ) 1 , c ) 2 , d ) 3 , e ) 4",b
"if the annual increase in the population of a town is 10 % and the present number of people is 10000 , what will the population be in 2 years ?",12100,"a ) 12100 , b ) 15240 , c ) 12456 , d ) 11452 , e ) 10002",a
the sum of two consecutive integers is 41 . find the numbers .,8,"a ) 17 , 18 , b ) 7 , 8 , c ) 5 , 6 , d ) 20,21 , e ) 8 , 9",d
calculate the circumference of a circular field whose radius is 10 centimeters .,20,"a ) 20 π cm , b ) 19 π cm , c ) 28 π cm , d ) 25 π cm , e ) 30 π cm",a
"a , b and c started a partnership business by investing rs . 12000 , rs . 16000 , rs . 20000 respectively . at the end of the year , the profit were distributed among them . if c ' s share of profit is 36000 , what is the total profit ?",86400,"a ) 70000 , b ) 60000 , c ) 86400 , d ) 90000 , e ) 50000",c
"sarah operated her lemonade stand monday through friday over a two week period and made a total profit of 450 dollars . on hot days she sold cups of lemonade for a price that was 25 percent higher than the regular days . each cup she sold had a total cost of 75 cents and sarah did not incur any other costs . if every day she sold exactly 32 cups and 3 of the days were hot , then what was the price of 1 cup on a hot day ?",2.50,"a ) $ 1.50 , b ) $ 1.88 , c ) $ 2.25 , d ) $ 2.50 , e ) $ 3.25",d
"at sandi ’ s pet shop , 25 cups of bird seed are used every 5 days to feed 15 parakeets . how many cups of bird seed would be required to feed 14 parakeets for 7 days ?",32.34,"a ) 40.5 , b ) 32.34 , c ) 6.23 , d ) 9 , e ) 15",b
a car travels from point a to point b . the average speed of the car is 60 km / hr and it travels the first half of the trip at a speed of 80 km / hr . what is the speed of the car in the second half of the trip ?,48,"a ) 40 , b ) 42 , c ) 45 , d ) 48 , e ) 50",d
sonika deposited rs . 8000 which amounted to rs . 11200 after 3 years at simple interest . had the interest been 2 % more . she would get how much ?,11680,"a ) 9680 , b ) 2277 , c ) 11680 , d ) 12068 , e ) 1212",c
"a manufacturer sells a pair of glasses to a wholesale dealer at a profit of 18 % . the wholesaler sells the same to retailer at a profit of 20 % . the retailer in turn sells them to a customer for rs . 30.09 , there by earning a profit of 25 % . the cost price for the manufacturer is :",17,"a ) rs . 15 , b ) rs . 16 , c ) rs . 17 , d ) rs . 18 , e ) rs . 19",c
"how long will a boy take to run round a square field of side 40 meters , if he runs at the rate of 12 km / hr ?",48,"a ) 52 sec , b ) 48 sec , c ) 60 sec , d ) 25 sec , e ) 39 sec",b
the sum of the first 50 positive even integers is 2550 . what is the sum of the even integers from 602 to 700 inclusive ?,28,"a ) 24,550 , b ) 28,550 , c ) 32,550 , d ) 36,550 , e ) 40,550",c
the average runs scored by a batsman in 10 matches is 40 . in the next 10 matches the batsman scored an average of 30 runs . find his average in all the 20 matches ?,35,"a ) 31 , b ) 35 , c ) 88 , d ) 13 , e ) 12",b
there are 300 giraffes at a large zoo . the number of giraffes is 3 times the number of all the other animals combined . how many more giraffes are there than non giraffes animals at the zoo ?,290,"a ) 400 , b ) 360 , c ) 300 , d ) 290 , e ) 200",d
"if n is an integer , f ( n ) = f ( n - 1 ) - n and f ( 4 ) = 15 . what is the value of f ( 6 ) ?",4,"a ) 4 , b ) 0 , c ) 1 , d ) 2 , e ) 24",a
"a salesman ’ s terms were changed from a flat commission of 5 % on all his sales to a fixed salary of rs . 1100 plus 2.5 % commission on all sales exceeding rs . 4,000 . if his remuneration as per new scheme was rs . 600 more than that by the previous schema , his sales were worth ?",14000,"a ) 14000 , b ) 12000 , c ) 12019 , d ) 12197 , e ) 12012",a
andy solves problems 78 to 125 inclusive in a math exercise . how many problems does he solve ?,48,"a ) 53 , b ) 52 , c ) 51 , d ) 50 , e ) 48",e
a ' and ' b ' are positive integers such that their lcm is 20 and their hcf is 1 . what is the addition of the maximum and minimum possible values of ' a + b ' ?,30,"a ) 21 , b ) 34 , c ) 30 , d ) 25 , e ) 12",c
"one pump drains one - half of a pond in 2 hours , and then a second pump starts draining the pond . the two pumps working together finish emptying the pond in one - half hour . how long would it take the second pump to drain the pond if it had to do the job alone ?",1.3,"a ) 1.3 hour , b ) 1.2 hour , c ) 3 hours , d ) 5 hours , e ) 6 hours",a
"if 2 ^ 2 n + 2 ^ 2 n + 2 ^ 2 n + 2 ^ 2 n = 4 ^ 18 , then n =",17,"a ) 3 , b ) 6 , c ) 17 , d ) 23 , e ) 24",c
a and b go around a circular track of length 300 m on a cycle at speeds of 34 kmph and 50 kmph . after how much time will they meet for the first time at the starting point ?,60,"a ) 120 sec , b ) 60 sec , c ) 186 sec , d ) 167 sec , e ) 168 sec",b
"in cliff ’ s impressive rock collection , there are half as many igneous rocks as sedimentary rocks . of the igneous rocks , 3 / 4 are shiny and the rest are matte , while 1 / 5 of the sedimentary rocks are shiny . if there are 30 shiny igneous rocks , how many total rocks does cliff have ?",120,"a ) 30 , b ) 45 , c ) 60 , d ) 120 , e ) 135",d
"two assembly line inspectors , smithy and glen , inspect widgets as they come off the assembly line . if smithy inspects every fifth widget , starting with the fifth , and glen inspects every third , starting with the third , how many of the 98 widgets produced in the first hour of operation are not inspected by either inspector ?",53,"a ) 50 , b ) 53 , c ) 55 , d ) 60 , e ) 65",b
"what is the sum of the numbers between 1 and 12 , inclusive ?",78,"a ) 99 , b ) 65 , c ) 79 , d ) 78 , e ) 80",d
the speed of a car is 120 km in the first hour and 70 km in the second hour . what is the average speed of the car ?,95,"a ) 72 kmph , b ) 75 kmph , c ) 95 kmph , d ) 80 kmph , e ) 82 kmph",c
"in a class of 60 children , 30 % children can speak only english , 20 % hindi and english both and the rest of the children can speak only hindi . how many children can speak hindi ?",42,"a ) 42 , b ) 36 , c ) 30 , d ) 48 , e ) none of these",a
25 % of a number is more than 20 % of 650 by 190 . find the number ?,1280,"a ) 288 , b ) 278 , c ) 800 , d ) 267 , e ) 1280",e
"george ' s car calls for 8 ounces of oil for each cylinder used . his car ' s engine has 6 cylinders . if 16 ounces of oil has already been put into the engine used , then how many additional ounces of oil are needed ?",32,"['a ) 16', 'b ) 48', 'c ) 64', 'd ) 32', 'e ) 8']",d
a car traveled 35 % of the way from town x to town y at an average speed of 35 mph . the car traveled at an average speed of v mph for the remaining part of the trip . the average speed for the entire trip was 50 mph . what is v in mph ?,65,"a ) 45 , b ) 65 , c ) 55 , d ) 75 , e ) 85",b
"if the compound interest on a certain sum of money for 2 years at 10 % per annum be rs . 993 , what would be the simple interest ?",600,"a ) rs . 600 , b ) rs . 890 , c ) rs . 895 , d ) rs . 900 , e ) none",a
"hammers and wrenches are manufactured at a uniform weight per hammer and a uniform weight per wrench . if the total weight of two hammers and two wrenches is one - third that of 8 hammers and 5 wrenches , then the total weight of one wrench is how many times that of one hammer ?",2,"a ) 1 / 2 , b ) 2 / 3 , c ) 1 , d ) 3 / 2 , e ) 2",e
"tea worth rs . 126 per kg are mixed with a third variety in the ratio 1 : 1 : 2 . if the mixture is worth rs . 163 per kg , the price of the third variety per kg will be",185.50,"a ) rs . 169.50 , b ) rs . 1700 , c ) rs . 185.50 , d ) rs . 180 , e ) none",c
"the total circumference of two circles is 49 . if the first circle has a circumference that is exactly twice the circumference of the second circle , then what is the approximate sum of their two radii ?",7.8,"a ) 7.8 , b ) 6.0 , c ) 6.7 , d ) 9.7 , e ) 18.0",a
a certain pair of used shoes can be repaired for $ 10.50 and will last for 1 year . a pair of the same kind of shoes can be purchased new for $ 30.00 and will last for 2 years . the average cost per year of the new shoes is what percent greater than the cost of repairing the used shoes ?,42.85,"a ) 42.85 , b ) 44 , c ) 48 , d ) 38 , e ) 40",a
"a cistern can be filled by a tap in 4 hours while it can be emptied by another tap in 6 hours . if both the taps are opened simultaneously , then after how much time will the cistern get filled ?",12.0,"a ) 17.5 , b ) 7.4 , c ) 7.9 , d ) 12.0 , e ) 7.1",d
a runs twice as fast as b and gives b a start of 42 m . how long should the racecourse be so that a and b might reach in the same time ?,84,"a ) 75 m . , b ) 80 m . , c ) 84 m . , d ) 100 m . , e ) none of the above",c
"in a certain town , the ratio of ny yankees fans to ny mets fans is 3 : 2 , and the ratio of ny mets fans to boston red sox fans is 4 : 5 . if there are 330 baseball fans in the town , each of whom is a fan of exactly one of those three teams , how many ny mets fans are there in this town ?",88,"a ) 72 , b ) 88 , c ) 95 , d ) 120 , e ) 135",b
what is the 26 th digit to the right of the decimal point in the decimal form of 6 / 11 ?,4,"a ) 3 , b ) 4 , c ) 5 , d ) 6 , e ) 7",b
what is the area of square field whose side of length 13 m ?,169,"a ) 169 , b ) 196 , c ) 266 , d ) 288 , e ) 261",a
a can complete a certain job in 9 days . b is 80 % more efficient than a . in how many days can b complete the same job ?,5,"a ) 5 , b ) 6.25 , c ) 7 , d ) 7.5 , e ) 4.8",a
"if the horse can run 10 miles / hour , how many days would it take for a horse to run from new york city to washington . d . c . ? ( 240 miles from nyc to d . c . )",1,"a ) 0.6 , b ) 0.8 , c ) 1 , d ) 1.2 , e ) 1.4",c
solution for 2.12 + . 004 + . 345,2.469,"a ) 2.91 , b ) 2.911 , c ) 2.469 , d ) 2.586 , e ) 2.499",c
"a reduction of 25 % in the price of oil enables a house wife to obtain 5 kgs more for rs . 1300 , what is the reduced price for kg ?",65,"a ) s . 40 , b ) s . 65 , c ) s . 49 , d ) s . 41 , e ) s . 42",b
"how many paying stones , each measuring 2 1 / 2 m * 2 m are required to pave a rectangular court yard 30 m long and 16 1 / 2 m board ?",99,"a ) 90 , b ) 99 , c ) 97 , d ) 95 , e ) 65",b
20 liters of a mixture is created by mixing liquid p and liquid q in the ratio 3 : 2 . how many liters of liquid q must be added to make the ratio 4 : 3 ?,1,"a ) 1 , b ) 3 , c ) 5 , d ) 7 , e ) 9",a
a sum amounts to rs . 5292 in 2 years at the rate of 5 % p . a . if interest was compounded yearly then what was the principal ?,4800,"a ) s . 4000 , b ) s . 5000 , c ) s . 4500 , d ) s . 4800 , e ) s . 5800",d
express a speed of 56 kmph in meters per second ?,15.56,"a ) 10.56 mps , b ) 17.56 mps , c ) 97.56 mps , d ) 15.56 mps , e ) 18.56 mps",d
"in a fuel station the service costs $ 1.75 per car , every liter of fuel costs 0.65 $ . assuming that a company owns 12 cars and that every fuel tank contains 45 liters and they are all empty , how much money total will it cost to fuel all cars ?",372,"a ) 320 $ , b ) 372 $ , c ) 420 $ , d ) 450 $ , e ) 480 $",b
"a group of men decided to do a work in 12 days , but 6 of them became absent . if the rest of the group did the work in 14 days , find the original number of men ?",42,"a ) 15 , b ) 42 , c ) 44 , d ) 45 , e ) 18",b
"a sells a cricket bat to b at a profit of 20 % . b sells it to c at a profit of 25 % . if c pays $ 234 for it , the cost price of the cricket bat for a is :",156,"a ) 156 , b ) 120 , c ) 130 , d ) 160 , e ) 210",a
"a rectangular plot measuring 90 metres by 50 metres is to be enclosed by wire fencing . if the poles of the fence are kept 5 metres apart , how many poles will be needed ?",56,"a ) 55 , b ) 56 , c ) 57 , d ) 58 , e ) none of these",b
"the hiker walking at a constant rate of 6 miles per hour is passed by a motor - cyclist traveling in the same direction along the same path at 30 miles per hour . the motor - cyclist stops to wait for the hiker 12 minutes after passing her , while the hiker continues to walk at her constant rate , how many minutes must the motor - cyclist wait until the hiker catches up ?",48,"a ) 30 , b ) 36 , c ) 40 , d ) 48 , e ) 60",d
"the speed at which a man can row a boat in still water is 15 kmph . if he rows downstream , where the speed of current is 3 kmph , what time will he take to cover 90 metres ?",18,"a ) 16 seconds , b ) 76 seconds , c ) 26 seconds , d ) 12 seconds , e ) 18 seconds",e
"a train consists of 12 boggies , each boggy 15 metres long . the train crosses a telegraph post in 9 seconds . due to some problem , one boggies were detached . the train now crosses a telegraph post in",8.25,"a ) 18 sec , b ) 12 sec , c ) 15 sec , d ) 8.25 sec , e ) none of these",d
