question,answer,qA
"#Q These became more advanced and more popular in the 1990, with some of the most influential ones being  the Super Nintendo Entertainment System, the Sony Playstation, and the Sega Dreamcast.
",Video Game consoles,"['#Q These became more advanced and more popular in the 1990, with some of the most influential ones being  the Super Nintendo Entertainment System, the Sony Playstation, and the Sega Dreamcast.\n'
 '^ Video Game consoles\n' 'A Dating sites\n'
 'B Virtual reality systems\n' 'C Video Game consoles\n'
 'D Computer games\n']"
"#Q The Punic Wars were a series of three wars fought between these two powers.
",Rome and Carthage,"['#Q The Punic Wars were a series of three wars fought between these two powers.\n'
 '^ Rome and Carthage\n' 'A Rome and Athens\n' 'B Athens and Sparta\n'
 'C Carthage and Athens\n' 'D Rome and Carthage\n']"
"#Q The 1938 incorporation of Austria in Greater Germany under the Nazi Regime is known as this.
",Anschluss,"['#Q The 1938 incorporation of Austria in Greater Germany under the Nazi Regime is known as this.\n'
 '^ Anschluss\n' 'A Ansatz\n' 'B Abwer\n' 'C Anschluss\n' 'D Ahnentafel\n']"
"#Q Henry Kissinger held this US post from 1974 to 1977.
",Secretary of State,"['#Q Henry Kissinger held this US post from 1974 to 1977.\n'
 '^ Secretary of State\n' 'A President of the Senate\n'
 'B Speaker of the House of Representatives\n'
 'C National Security Advisor\n' 'D Secretary of State\n']"
"#Q One of these cities has been Japans capital in the past.
",Kyoto,"['#Q One of these cities has been Japans capital in the past.\n'
 '^ Kyoto\n' 'A Kyoto\n' 'B Yokohama\n' 'C Hiroshima\n' 'D Osaka\n']"
"#Q Anne of Austria was the mother of Louis XIV of France (the Sun King).
",True,"['#Q Anne of Austria was the mother of Louis XIV of France (the Sun King).\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Valeria Messalina was the third wife of this Roman emperor.\n']"
"#Q Valeria Messalina was the third wife of this Roman emperor.
",Claudius,"['#Q Valeria Messalina was the third wife of this Roman emperor.\n'
 '^ Claudius\n' 'A Caligula\n' 'B Tiberius\n' 'C Nero\n' 'D Claudius\n']"
"#Q Philip II of France, Richard I of England and Frederick I led this campaign.
",Third Crusade,"['#Q Philip II of France, Richard I of England and Frederick I led this campaign.\n'
 '^ Third Crusade\n' 'A Childrens Crusade\n' 'B Albigensian Crusade\n'
 'C Fourth Crusade\n' 'D Third Crusade\n']"
"#Q Yu the Great was the legendary first Chinese monarch of this dynasty.
",Xia Dynasty,"['#Q Yu the Great was the legendary first Chinese monarch of this dynasty.\n'
 '^ Xia Dynasty\n' 'A Xia Dynasty\n' 'B Qing (Manchu) Dynasty\n'
 'C Ming Dynasty\n' 'D Yuan Dynasty\n']"
"#Q This German general was nicknamed The Desert Fox due to the skillful military campaigns he waged in North Africa, during World War II.
",Erwin Rommel,"['#Q This German general was nicknamed The Desert Fox due to the skillful military campaigns he waged in North Africa, during World War II.\n'
 '^ Erwin Rommel\n' 'A Erwin Rommel\n' 'B Hermann Goring\n'
 'C George Patton\n' 'D Bernard Montgomery\n']"
"#Q The term Blitzkrieg, referring to swift, sudden military offensive, is translated as Thunder War.
",False,"['#Q The term Blitzkrieg, referring to swift, sudden military offensive, is translated as Thunder War.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q How many landing beaches were there in the 1944 Normandy Invasion, known as Operation Overlord?\n']"
"#Q How many landing beaches were there in the 1944 Normandy Invasion, known as Operation Overlord?
",Five,"['#Q How many landing beaches were there in the 1944 Normandy Invasion, known as Operation Overlord?\n'
 '^ Five\n' 'A Four\n' 'B Six\n' 'C Five\n' 'D Three\n']"
"#Q What was the name of the first jet-powered fighter used in World War II?
",Me-262,"['#Q What was the name of the first jet-powered fighter used in World War II?\n'
 '^ Me-262\n' 'A P-51\n' 'B Hurricane\n' 'C Me-262\n' 'D MIG-3\n']"
"#Q Which member of the Nazi Party was known as Adolph Hitlers first architect of the Third Reich?
",Albert Speer,"['#Q Which member of the Nazi Party was known as Adolph Hitlers first architect of the Third Reich?\n'
 '^ Albert Speer\n' 'A Rudolph Hess\n' 'B Albert Speer\n'
 'C Hermann Goring\n' 'D Joseph Mengele\n']"
"#Q The British evacuation from which French port was codenamed Operation Dynamo, in 1940?
",Dunkirk,"['#Q The British evacuation from which French port was codenamed Operation Dynamo, in 1940?\n'
 '^ Dunkirk\n' 'A Brest\n' 'B Cherbourg\n' 'C Dunkirk\n' 'D Toulon\n']"
"#Q Which American politician said the following about liberty: They that can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety.â€�?
",Benjamin Franklin,"['#Q Which American politician said the following about liberty: They that can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety.â€�?\n'
 '^ Benjamin Franklin\n' 'A Benjamin Franklin\n' 'B Thomas Jefferson\n'
 'C Abraham Lincoln\n' 'D George Washington\n']"
"#Q Which US President delivered the following words: Ask not what your country can do for you, ask what you can do for your country.?
",John F. Kennedy,"['#Q Which US President delivered the following words: Ask not what your country can do for you, ask what you can do for your country.?\n'
 '^ John F. Kennedy\n' 'A William J. Clinton\n'
 'B Franklin D. Roosevelt\n' 'C Abraham Lincoln\n' 'D John F. Kennedy\n']"
"#Q Which US President said these words: A democracy is nothing more than mob rule, where fifty-one percent of the people may take away the rights of the other forty-nine.?
",Thomas Jefferson,"['#Q Which US President said these words: A democracy is nothing more than mob rule, where fifty-one percent of the people may take away the rights of the other forty-nine.?\n'
 '^ Thomas Jefferson\n' 'A Abraham Lincoln\n' 'B Thomas Jefferson\n'
 'C Benjamen Franklin\n' 'D John F. Kennedy\n']"
"#Q Which US President made the following statement: America stands for liberty, for the pursuit of happiness and for the unalienable right for life. This right to life cannot be granted or denied by government because it does not come from the government, it comes from the creator of life.?
",George W. Bush,"['#Q Which US President made the following statement: America stands for liberty, for the pursuit of happiness and for the unalienable right for life. This right to life cannot be granted or denied by government because it does not come from the government, it comes from the creator of life.?\n'
 '^ George W. Bush\n' 'A George W. Bush\n' 'B Thomas Jefferson\n'
 'C John Adams\n' 'D George Washington\n']"
"#Q These words were spoken by Jed Babbin, a former deputy undersecretary of defence in the first Bush administration, on January 30, 2003: Going to war without France is like going deer hunting without an accordion. You just leave a lot of useless noisy baggage behind.
",True,"['#Q These words were spoken by Jed Babbin, a former deputy undersecretary of defence in the first Bush administration, on January 30, 2003: Going to war without France is like going deer hunting without an accordion. You just leave a lot of useless noisy baggage behind.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Which great American leader made the following statement: Any people anywhere, being inclined and having the power, have the right to rise up, and shake off the existing government, and form a new one that suits them better. This is a most valuable - a most sacred right - a right, which we hope and believe, is to liberate the world.â€�?\n']"
"#Q Which great American leader made the following statement: Any people anywhere, being inclined and having the power, have the right to rise up, and shake off the existing government, and form a new one that suits them better. This is a most valuable - a most sacred right - a right, which we hope and believe, is to liberate the world.â€�?
",Abraham Lincoln,"['#Q Which great American leader made the following statement: Any people anywhere, being inclined and having the power, have the right to rise up, and shake off the existing government, and form a new one that suits them better. This is a most valuable - a most sacred right - a right, which we hope and believe, is to liberate the world.â€�?\n'
 '^ Abraham Lincoln\n' 'A Benjamin Franklin\n' 'B Abraham Lincoln\n'
 'C George Washington\n' 'D Thomas Jefferson\n']"
"#Q The M1 Carbine is the most mass produced small arm weapon in the United States. Even though it was mainly produced by the Inland Division of General Motors, its design belongs to this famous company.
",Winchester,"['#Q The M1 Carbine is the most mass produced small arm weapon in the United States. Even though it was mainly produced by the Inland Division of General Motors, its design belongs to this famous company.\n'
 '^ Winchester\n' 'A Winchester\n' 'B Kalashnikov\n' 'C GIAT Industries\n'
 'D Magnum Research Inc.\n']"
"#Q How many Medal of Honor citations have been issued during the Vietnam War?
",245,"['#Q How many Medal of Honor citations have been issued during the Vietnam War?\n'
 '^ 245\n' 'A 245\n' 'B 345\n' 'C 153\n' 'D 120\n']"
"#Q One of the worlds greatest generals. By  the age of 30 he ruled almost half of the world. This great leader died at the peak of his campaign at the age of 33.  His was taught by Aristotle.
",Alexander The Great,"['#Q One of the worlds greatest generals. By  the age of 30 he ruled almost half of the world. This great leader died at the peak of his campaign at the age of 33.  His was taught by Aristotle.\n'
 '^ Alexander The Great\n' 'A Alexander The Great\n' 'B Darius\n'
 'C Julius Caesar\n' 'D Augustus\n']"
"#Q This Carthaginian general marched from Spain to Rome across the Alps.  14,000 of his 40,000 troops died because of the harsh climate.  Later, he won the Battle of Cannae.
",Hannibal,"['#Q This Carthaginian general marched from Spain to Rome across the Alps.  14,000 of his 40,000 troops died because of the harsh climate.  Later, he won the Battle of Cannae.\n'
 '^ Hannibal\n' 'A Augustus\n' 'B Gaius Marius\n' 'C Lesius Quietus\n'
 'D Hannibal\n']"
"#Q His saying, Veni Vidi Vici (I came I saw I conquered) is known all over the world.  His war feats clothed him with glory giving him political power.
",Julius Caesar,"['#Q His saying, Veni Vidi Vici (I came I saw I conquered) is known all over the world.  His war feats clothed him with glory giving him political power.\n'
 '^ Julius Caesar\n' 'A Marcus Antonius\n' 'B Julius Caesar\n'
 'C Augustus\n' 'D Darius\n']"
"#Q This American general  led the invasion of Normandy.  He was also an American president from 1953 to 1961.
",Dwight Eisenhower,"['#Q This American general  led the invasion of Normandy.  He was also an American president from 1953 to 1961.\n'
 '^ Dwight Eisenhower\n' 'A Dwight Eisenhower\n' 'B George S. Patton\n'
 'C MacArthur\n' 'D William H. Simpson\n']"
"#Q He was one of the best military officers of Russia during the World War II and involved in the taking of Berlin.
",Georgi Zhukov,"['#Q He was one of the best military officers of Russia during the World War II and involved in the taking of Berlin.\n'
 '^ Georgi Zhukov\n' 'A Lavr Kornilov\n' 'B Georgi Zhukov\n'
 'C Alexander Samsonov\n' 'D Nicholas Nikolaevich\n']"
"#Q The siege of Leningrad lasted just 1 month.
",False,"['#Q The siege of Leningrad lasted just 1 month.\n' '^ False\n' 'A True\n'
 'B False\n' '\n'
 '#Q Along with the French general, this British general also led the campaign in Northern Africa during the World War II.  He was accused of not fighting bravely enough, after his lack of success in Operation Lightfoot.\n']"
"#Q Along with the French general, this British general also led the campaign in Northern Africa during the World War II.  He was accused of not fighting bravely enough, after his lack of success in Operation Lightfoot.
",Bernard Montgomery,"['#Q Along with the French general, this British general also led the campaign in Northern Africa during the World War II.  He was accused of not fighting bravely enough, after his lack of success in Operation Lightfoot.\n'
 '^ Bernard Montgomery\n' 'A Dwight Eisenhower\n' 'B Bernard Montgomery\n'
 'C Georg Stumme\n' 'D John White\n']"
"#Q This island was Englands first overseas colony.
",Newfoundland,"['#Q This island was Englands first overseas colony.\n' '^ Newfoundland\n'
 'A Rhodes\n' 'B Newfoundland\n' 'C Iceland\n' 'D Greenland\n']"
"#Q In 1962 Jamaica gained full independence from the United Kingdom, but before even becoming a British colony, Jamaica was possession of this country.
",Spain,"['#Q In 1962 Jamaica gained full independence from the United Kingdom, but before even becoming a British colony, Jamaica was possession of this country.\n'
 '^ Spain\n' 'A Spain\n' 'B Portugal\n' 'C Russia\n' 'D Italy\n']"
"#Q Barbados has never been a British colony.
",False,"['#Q Barbados has never been a British colony.\n' '^ False\n' 'A True\n'
 'B False\n' '\n'
 '#Q Australia was officially settled in 1788 as the penal colony of New South Wales. Over the course of the 19th century this many new self-governing Crown Colonies were established on the continent.\n']"
"#Q Australia was officially settled in 1788 as the penal colony of New South Wales. Over the course of the 19th century this many new self-governing Crown Colonies were established on the continent.
",5,"['#Q Australia was officially settled in 1788 as the penal colony of New South Wales. Over the course of the 19th century this many new self-governing Crown Colonies were established on the continent.\n'
 '^ 5\n' 'A 4\n' 'B 5\n' 'C 3\n' 'D 12\n']"
"#Q One of  the results of the Second Anglo-Dutch War, between England and the United Netherlands, was that the city of New Amsterdam was renamed to this.
",New York,"['#Q One of  the results of the Second Anglo-Dutch War, between England and the United Netherlands, was that the city of New Amsterdam was renamed to this.\n'
 '^ New York\n' 'A New York\n' 'B New Jersey\n' 'C New Mexico\n'
 'D New Orleans\n']"
"#Q Sri Lanka was not considered part of the British Raj.
",True,"['#Q Sri Lanka was not considered part of the British Raj.\n' '^ True\n'
 'A False\n' 'B True\n' '\n'
 '#Q Slavery was outlawed in all British colonies in this year.\n']"
"#Q Slavery was outlawed in all British colonies in this year.
",1834,"['#Q Slavery was outlawed in all British colonies in this year.\n'
 '^ 1834\n' 'A 1812\n' 'B 1912\n' 'C 1834\n' 'D 1738\n']"
"#Q On July 1, 1997, the former British colony of Hong Kong reunified with the Peoples Republic of China. This man was the last governor of Hong Kong.
",Chris Patten,"['#Q On July 1, 1997, the former British colony of Hong Kong reunified with the Peoples Republic of China. This man was the last governor of Hong Kong.\n'
 '^ Chris Patten\n' 'A Henry Tang\n' 'B Chris Patten\n'
 'C Tung Chee Hwa\n' 'D Donald Tsang\n']"
"#Q Britain was not interested in African territories and thus has never controlled any.
",False,"['#Q Britain was not interested in African territories and thus has never controlled any.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q What was the nickname of Tom Cruises character in Top Gun?\n']"
"#Q What was the nickname of Tom Cruises character in Top Gun?
",Maverick,"['#Q What was the nickname of Tom Cruises character in Top Gun?\n'
 '^ Maverick\n' 'A Goose\n' 'B Iceman\n' 'C Maverick\n' 'D Viper\n']"
"#Q What NBA team won their 16th NBA Championship title on June 8,1986?
",Boston Celtics,"['#Q What NBA team won their 16th NBA Championship title on June 8,1986?\n'
 '^ Boston Celtics\n' 'A Boston Celtics\n' 'B Houston Rockets\n'
 'C L.A. Lakers\n' 'D Chicago Bulls\n']"
"#Q Which of these songs was not on Bon Jovis chart-topping 1986 album Slippery When Wet?
",Ill Be There for You,"['#Q Which of these songs was not on Bon Jovis chart-topping 1986 album Slippery When Wet?\n'
 '^ Ill Be There for You\n' 'A Ill Be There for You\n'
 'B Never Say Goodbye\n' 'C Livin on a Prayer\n'
 'D Wanted Dead Or Alive\n']"
"#Q When this significant event took place on January 28, 1986, students worldwide saw it on live television.
",Space Shuttle Challenger explodes,"['#Q When this significant event took place on January 28, 1986, students worldwide saw it on live television.\n'
 '^ Space Shuttle Challenger explodes\n'
 'A A nuclear reactor at the Chernobyl nuclear plant explodes\n'
 'B Space Shuttle Challenger explodes\n'
 'C The United States Senate allows its debates to be televised\n'
 'D Pope John Paul II officially visits the Synagogue of Rome\n']"
"#Q The New York Mets were World Champions in baseball in the 1986 world series.
",True,"['#Q The New York Mets were World Champions in baseball in the 1986 world series.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Which one of these actors was not in the Academy Award winning Oliver Stone film Platoon?\n']"
"#Q Which one of these actors was not in the Academy Award winning Oliver Stone film Platoon?
",Tom Cruise,"['#Q Which one of these actors was not in the Academy Award winning Oliver Stone film Platoon?\n'
 '^ Tom Cruise\n' 'A Tom Berenger\n' 'B Charlie Sheen\n' 'C Johnny Depp\n'
 'D Tom Cruise\n']"
"#Q On what album released in 1986 would I find the following lyrics:
","When I was 17 I did what people told me,","['#Q On what album released in 1986 would I find the following lyrics:\n'
 'When I was 17 I did what people told me, \n'
 'Did what my father said and let my mother mold me\n'
 '^ Control - Janet Jackson\n' 'A True Stories - Talking Heads\n'
 'B Control - Janet Jackson\n']"
"#Q What southern sitcom, which debuted in 1986, are the following characters from: Julia, Suzanne, Mary Jo, Charlene, Anthony and Bernice?
",Designing Women,"['#Q What southern sitcom, which debuted in 1986, are the following characters from: Julia, Suzanne, Mary Jo, Charlene, Anthony and Bernice?\n'
 '^ Designing Women\n' 'A Designing Women\n' 'B Mamas Family\n'
 'C Its A Living\n' 'D The Golden Girls\n']"
"#Q This was an attempt to establish the use of the metric system in the United States. However it was not accepted and the US never converted.
",The 1975 Metric Conversion Act,"['#Q This was an attempt to establish the use of the metric system in the United States. However it was not accepted and the US never converted.\n'
 '^ The 1975 Metric Conversion Act\n' 'A The 1975 Metric Conversion Act\n'
 'B IEEE Conversion RFC\n' 'C The Common management interface protocol\n'
 'D ANSI Metric Conversions\n']"
"#Q This suspension bridge collapsed due to resonance - a twisting pattern never seen before, took the bridge down.
",The Tacoma Narrows Bridge,"['#Q This suspension bridge collapsed due to resonance - a twisting pattern never seen before, took the bridge down.\n'
 '^ The Tacoma Narrows Bridge\n' 'A The John Hancock Bridge\n'
 'B Willamette River Pedestrian Bridge\n' 'C The Tacoma Narrows Bridge\n'
 'D The Golden Gate Bridge\n']"
"#Q In early 1985 the manufacturer of this drink changed the recipe of the product, but after months of complaints, it was forced by the consumers to restore the original formula.
",Coca Cola,"['#Q In early 1985 the manufacturer of this drink changed the recipe of the product, but after months of complaints, it was forced by the consumers to restore the original formula.\n'
 '^ Coca Cola\n' 'A Coca Cola\n' 'B Pepsi\n' 'C Yoo-hoo\n'
 'D Dr. Pepper\n']"
"#Q At the time, this was the most complex ship, employing safety measures unseen before.  She was double-bottomed and separated into 16 watertight compartments. Nevertheless, she sank on her maiden voyage.
",Titanic,"['#Q At the time, this was the most complex ship, employing safety measures unseen before.  She was double-bottomed and separated into 16 watertight compartments. Nevertheless, she sank on her maiden voyage.\n'
 '^ Titanic\n' 'A Titanic\n' 'B Britanic\n' 'C Andrea Doria\n'
 'D The Empress of Ireland\n']"
"#Q This rap artist, born Stanley Kirk Burrell was known for his lavish tours and catchy hooks.  However, his attempted restyling as a gangsta-rapper was a failure
",MC Hammer,"['#Q This rap artist, born Stanley Kirk Burrell was known for his lavish tours and catchy hooks.  However, his attempted restyling as a gangsta-rapper was a failure\n'
 '^ MC Hammer\n' 'A MC Hammer\n' 'B Marky Mark\n' 'C Busta Rhymes\n'
 'D Vanilla Ice\n']"
"#Q This aircraft was proposed by Boeing in the 80s, but never entered production due to excessive noise from its unducted fan engines and high production costs.
",Boeing 7J7,"['#Q This aircraft was proposed by Boeing in the 80s, but never entered production due to excessive noise from its unducted fan engines and high production costs.\n'
 '^ Boeing 7J7\n' 'A Spruce Goose flying boat\n' 'B Boeing 7J7\n'
 'C Boeing Business Jet\n' 'D Boeing 737\n']"
"#Q This tank was built during World War II, but had weight and speed issues.  It never saw battle.
",Panzerkampfwagen VIII Maus,"['#Q This tank was built during World War II, but had weight and speed issues.  It never saw battle.\n'
 '^ Panzerkampfwagen VIII Maus\n' 'A Panzerkampfwagen VIII Maus\n'
 'B Sturmpanzer IV Brummbär\n' 'C M3A5 Grant\n'
 'D Heavy Tank Charron 2C\n']"
"#Q This 15,000 ton, German-built ship maintained a route from Tallinn to Stockholm.  In 1994, it sunk to the bottom of the Baltic Sea due to a badly designed bow door.
",Estonia Ferry,"['#Q This 15,000 ton, German-built ship maintained a route from Tallinn to Stockholm.  In 1994, it sunk to the bottom of the Baltic Sea due to a badly designed bow door.\n'
 '^ Estonia Ferry\n' 'A Estonia Ferry\n' 'B Blak Bark of Ostend\n'
 'C Barge of Calais\n' 'D Castor to Circe\n']"
"#Q Three of these political events occurred in the 80s. Which one happened earlier?
",The Winter of Discontent in the UK,"['#Q Three of these political events occurred in the 80s. Which one happened earlier?\n'
 '^ The Winter of Discontent in the UK\n'
 'A The Collapse of the Soviet Union\n' 'B The USA invades Panama\n'
 'C The Winter of Discontent in the UK\n'
 'D The Velvet Revolution in Czechoslovakia\n']"
"#Q All of these famous political leaders lost their power in the 80s, except one. Can you spot him?
",Francois Mitterrand,"['#Q All of these famous political leaders lost their power in the 80s, except one. Can you spot him?\n'
 '^ Francois Mitterrand\n' 'A Augusto Pinochet\n' 'B Ceausescu\n'
 'C Francois Mitterrand\n' 'D Gustav Husak\n']"
"#Q The AIDS epidemic was identified and named before 1980.
",False,"['#Q The AIDS epidemic was identified and named before 1980.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q Mel Gibson starred in all of the following four movies. However, only one of them was produced during the 80s.  Which one?\n']"
"#Q Mel Gibson starred in all of the following four movies. However, only one of them was produced during the 80s.  Which one?
",Lethal Weapon 2,"['#Q Mel Gibson starred in all of the following four movies. However, only one of them was produced during the 80s.  Which one?\n'
 '^ Lethal Weapon 2\n' 'A Forever Young\n' 'B Mad Max\n'
 'C Lethal Weapon 3\n' 'D Lethal Weapon 2\n']"
"#Q The TV-series Taxi was first released during this period.
",1970s,"['#Q The TV-series Taxi was first released during this period.\n'
 '^ 1970s\n' 'A 1990s\n' 'B 1960s\n' 'C 1970s\n' 'D 1980s\n']"
"#Q One of these TV productions was not released in the 80s.
",Saturday Night Live,"['#Q One of these TV productions was not released in the 80s.\n'
 '^ Saturday Night Live\n' 'A Dynasty\n' 'B The Cosby Show\n'
 'C Saturday Night Live\n' 'D L.A. Law\n']"
"#Q Michael Keatons debut was in the 80s.
",False,"['#Q Michael Keatons debut was in the 80s.\n' '^ False\n' 'A False\n'
 'B True\n' '\n'
 '#Q What Celtic chieftain fought Julius Caesar in Gaul, in the first century B.C.?\n']"
"#Q What Celtic chieftain fought Julius Caesar in Gaul, in the first century B.C.?
",Vercingetorix,"['#Q What Celtic chieftain fought Julius Caesar in Gaul, in the first century B.C.?\n'
 '^ Vercingetorix\n' 'A Vercingetorix\n' 'B Odoacer\n' 'C Hasdrubal\n'
 'D Leonidas\n']"
"#Q What Merovingian became king in the fifth century A.D.?
",Clovis,"['#Q What Merovingian became king in the fifth century A.D.?\n'
 '^ Clovis\n' 'A Arpad\n' 'B Clovis\n' 'C Ethelred\n' 'D Belisarius\n']"
"#Q Archaic French is still spoken in the area of this once French colony, lost to the British in 1763.
",Quebec,"['#Q Archaic French is still spoken in the area of this once French colony, lost to the British in 1763.\n'
 '^ Quebec\n' 'A Quebec\n' 'B Senegal ( West Africa)\n' 'C Haiti\n'
 'D Cambodia\n']"
"#Q In what year did the French Revolution begin?
",1789,"['#Q In what year did the French Revolution begin?\n' '^ 1789\n'
 'A 1789\n' 'B 1693\n' 'C 1724\n' 'D 1637\n']"
"#Q In what year was Napoleon Bonaparte crowned emperor of France?
",1804,"['#Q In what year was Napoleon Bonaparte crowned emperor of France?\n'
 '^ 1804\n' 'A 1807\n' 'B 1804\n' 'C 1810\n' 'D 1801\n']"
"#Q In what year did the French pull out of Indochina?
",1954,"['#Q In what year did the French pull out of Indochina?\n' '^ 1954\n'
 'A 1949\n' 'B 1964\n' 'C 1954\n' 'D 1970\n']"
"#Q What statesman became the first President, under the Fifth Republic of France, in 1959?
",Charles De Gaulle,"['#Q What statesman became the first President, under the Fifth Republic of France, in 1959?\n'
 '^ Charles De Gaulle\n' 'A Albert Lebrun\n' 'B Vincent Auriol\n'
 'C Charles De Gaulle\n' 'D Rene Coty\n']"
"#Q In what year was Francois Mitterrand elected President of  France?
",1981,"['#Q In what year was Francois Mitterrand elected President of  France?\n'
 '^ 1981\n' 'A 1975\n' 'B 1987\n' 'C 1993\n' 'D 1981\n']"
"#Q What French monarch was known as the Sun King?
",Louis XIV,"['#Q What French monarch was known as the Sun King?\n' '^ Louis XIV\n'
 'A Louis X\n' 'B Charles VII\n' 'C Louis XIV\n' 'D Henry III\n']"
"#Q Although he spent 32 years as a criminal, this Wild West rogue killed only a single person. He was mainly engaged in robbing banks and became the first criminal to use an automobile for his escape.
",Henry Starr,"['#Q Although he spent 32 years as a criminal, this Wild West rogue killed only a single person. He was mainly engaged in robbing banks and became the first criminal to use an automobile for his escape.\n'
 '^ Henry Starr\n' 'A Burt Alvord\n' 'B Henry Starr\n' 'C Cherokee Bill\n'
 'D Frank Canton\n']"
"#Q This man killed his first victim at the age of 12. By the time he was 15 he had become an expert shot. As he was almost 6 feet tall, strong and quick in shooting, people were afraid of him. However, the $1,300 reward made some ordinary citizens work out an elaborate plan to capture him.
",Cherokee Bill,"['#Q This man killed his first victim at the age of 12. By the time he was 15 he had become an expert shot. As he was almost 6 feet tall, strong and quick in shooting, people were afraid of him. However, the $1,300 reward made some ordinary citizens work out an elaborate plan to capture him.\n'
 '^ Cherokee Bill\n' 'A Dutch Charley\n' 'B Billy the Kid\n'
 'C Butch Cassidy\n' 'D Cherokee Bill\n']"
