Problem,Rationale,options,correct,annotated_formula,linear_formula,category
the average weight of 8 person ' s increases by 1.5 kg when a new person comes in place of one of them weighing 75 kg . what might be the weight of the new person ?,"""total weight increased = ( 8 x 1.5 ) kg = 6 kg . weight of new person = ( 75 + 6 ) kg = 81 kg . answer : a""","a ) 81 kg , b ) 85 kg , c ) 90 kg , d ) 100 kg , e ) 110 kg",a,"add(multiply(8, 1.5), 75)","multiply(n0,n1)|add(n2,#0)|",general
"a train 125 m long passes a man , running at 15 km / hr in the same direction in which the train is going , in 10 seconds . the speed of the train is ?","""speed of the train relative to man = ( 125 / 10 ) m / sec = ( 25 / 2 ) m / sec . [ ( 25 / 2 ) * ( 18 / 5 ) ] km / hr = 45 km / hr . let the speed of the train be x km / hr . then , relative speed = ( x - 15 ) km / hr . x - 15 = 45 = = > x = 60 km / hr answer : a""","a ) 60 , b ) 50 , c ) 28 , d ) 26 , e ) 29",a,"divide(divide(subtract(125, multiply(multiply(15, const_0_2778), 15)), 15), const_0_2778)","multiply(n1,const_0_2778)|multiply(n1,#0)|subtract(n0,#1)|divide(#2,n1)|divide(#3,const_0_2778)|",physics
the average of 15 result is 60 . average of the first 10 of them is 10 and that of the last 10 is 80 . find the 8 th result ?,"""sum of all the 13 results = 15 * 60 = 900 sum of the first 7 of them = 10 * 10 = 100 sum of the last 7 of them = 10 * 80 = 800 so , the 8 th number = 900 + 100 - 800 = 200 . b""","a ) 35 , b ) 200 , c ) 150 , d ) 250 , e ) 300",b,"subtract(add(multiply(10, 10), multiply(10, 80)), multiply(15, 60))","multiply(n2,n3)|multiply(n2,n5)|multiply(n0,n1)|add(#0,#1)|subtract(#3,#2)|",general
"a salesman â € ™ s terms were changed from a flat commission of 5 % on all his sales to a fixed salary of rs . 1000 plus 2.5 % commission on all sales exceeding rs . 4,000 . if his remuneration as per new scheme was rs . 500 more than that by the previous schema , his sales were worth ?","""[ 1000 + ( x - 4000 ) * ( 2.5 / 100 ) ] - x * ( 5 / 100 ) = 600 x = 16000 answer : c""","a ) s . 14,000 , b ) s . 12,000 , c ) s . 16,000 , d ) s . 40,000 , e ) s . 50,000",c,"subtract(multiply(5, const_4), const_12)","multiply(n0,const_4)|subtract(#0,const_12)|",general
"a rectangular floor that measures 15 meters by 18 meters is to be covered with carpet squares that each measure 3 meters by 3 meters . if the carpet squares cost $ 12 apiece , what is the total cost for the number of carpet squares needed to cover the floor ?","""the width of the rectangular floor ( 15 m ) is a multiple of one side of the square ( 3 m ) , and the length of the floor ( 18 m ) is also a multiple of the side of the square . so the number of carpets to cover the floor is ( 15 / 3 ) * ( 18 / 3 ) = 30 . the total cost is 30 * 12 = $ 360 . the answer is , therefore , c .""","a ) $ 200 , b ) $ 240 , c ) $ 360 , d ) $ 960 , e ) $ 1,920",c,"multiply(15, 15)","multiply(n0,n0)|",geometry
a vessel of capacity 2 litre has 30 % of alcohol and another vessel of capacity 6 litre had 40 % alcohol . the total liquid of 8 litre was poured out in a vessel of capacity 10 litre and thus the rest part of the vessel was filled with the water . what is the new concentration of mixture ?,"""30 % of 2 litres = 0.6 litres 40 % of 6 litres = 2.4 litres therefore , total quantity of alcohol is 3.0 litres . this mixture is in a 10 litre vessel . hence , the concentration of alcohol in this 10 litre vessel is 30 % answer : a""","a ) 30 % . , b ) 71 % . , c ) 49 % . , d ) 29 % . , e ) 51 % .",a,"multiply(divide(add(multiply(divide(30, const_100), 2), multiply(divide(40, const_100), 6)), 10), const_100)","divide(n1,const_100)|divide(n3,const_100)|multiply(n0,#0)|multiply(n2,#1)|add(#2,#3)|divide(#4,n5)|multiply(#5,const_100)|",general
the total of 324 of 20 paise and 25 paise make a sum of rs . 70 . the no of 20 paise coins is,"""explanation : let the number of 20 paise coins be x . then the no of 25 paise coins = ( 324 - x ) . 0.20 * ( x ) + 0.25 ( 324 - x ) = 70 = > x = 220 . . answer : c ) 220""","a ) 238 , b ) 277 , c ) 220 , d ) 200 , e ) 288",c,"divide(subtract(multiply(324, 25), multiply(70, const_100)), subtract(25, 20))","multiply(n0,n2)|multiply(n3,const_100)|subtract(n2,n1)|subtract(#0,#1)|divide(#3,#2)|",general
"in 1970 there were 8,902 women stockbrokers in the united states . by 1978 the number had increased to 18,947 . approximately what was the percent increase ?","""the percent increase is ( 18947 - 8902 ) / 8902 = 10045 / 8902 = 1.13 so the approximate answer is b""","a ) 45 % , b ) 113 % , c ) 145 % , d ) 150 % , e ) 225 %",b,"divide(subtract(18,947, 8,902), 8,902)","subtract(n3,n1)|divide(#0,n1)|",general
what is the number of integers from 1 to 1100 ( inclusive ) that are divisible by neither 11 nor by 35 ?,"""normally , i would use the method used by bunuel . it ' s the most accurate . but if you are looking for a speedy solution , you can use another method which will sometimes give you an estimate . looking at the options ( most of them are spread out ) , i wont mind trying it . ( mind you , the method is accurate here since the numbers start from 1 . ) in 1000 consecutive numbers , number of multiples of 11 = 1000 / 11 = 90 ( ignore decimals ) in 1000 consecutive numbers , number of multiples of 35 = 1000 / 35 = 28 number of multiples of 11 * 35 i . e . 385 = 1000 / 385 = 2 number of integers from 1 to 1000 that are divisible by neither 11 nor by 35 = 1000 - ( 90 + 28 - 2 ) { using the concept of sets here ) = 945 think : why did i say the method is approximate in some cases ? think what happens if the given range is 11 to 1010 both inclusive ( again 1000 numbers ) what is the number of multiples in this case ? e""","a ) 884 , b ) 890 , c ) 892 , d ) 910 , e ) 945",e,"subtract(1100, subtract(add(divide(1100, 11), divide(1100, 35)), divide(1100, multiply(11, 35))))","divide(n1,n2)|divide(n1,n3)|multiply(n2,n3)|add(#0,#1)|divide(n1,#2)|subtract(#3,#4)|subtract(n1,#5)|",other
"arun makes a popular brand of ice cream in a rectangular shaped bar 6 cm long , 5 cm wide and 2 cm thick . to cut costs , the company had decided to reduce the volume of the bar by 19 % . the thickness will remain same , but the length and width will be decreased by some percentage . the new width will be ,",answer : a,"a ) 33 , b ) 87 , c ) 99 , d ) 367 , e ) 72",a,"add(divide(multiply(multiply(6, 5), 2), 2), const_3)","multiply(n0,n1)|multiply(n2,#0)|divide(#1,n2)|add(#2,const_3)",gain
kim finds a 5 - meter tree branch and marks it off in thirds and fifths . she then breaks the branch along all the markings and removes one piece of every distinct length . what fraction of the original branch remains ?,"""3 pieces of 1 / 5 length and two piece each of 1 / 15 and 2 / 15 lengths . removing one piece each from pieces of each kind of lengths the all that will remain will be 2 pieces of 1 / 5 i . e 2 / 5 , 1 piece of 1 / 15 , and 1 piece of 2 / 15 which gives us 2 / 5 + 1 / 15 + 2 / 15 - - - - - > 3 / 5 answer is d""","a ) 8 / 15 , b ) 1 / 2 , c ) 7 / 5 , d ) 3 / 5 , e ) 7 / 5",d,"subtract(const_1, add(add(divide(5, multiply(add(const_2, 5), 5)), divide(const_2, multiply(add(const_2, 5), 5))), divide(const_1, multiply(add(const_2, 5), 5))))","add(const_2,n0)|multiply(n0,#0)|divide(n0,#1)|divide(const_2,#1)|divide(const_1,#1)|add(#2,#3)|add(#5,#4)|subtract(const_1,#6)|",physics
"mark bought a set of 6 flower pots of different sizes at a total cost of $ 8.25 . each pot cost 0.1 more than the next one below it in size . what was the cost , in dollars , of the largest pot ?","""this question can be solved with a handful of different algebra approaches ( as has been shown in the various posts ) . since the question asks for the price of the largest pot , and the answers are prices , we can test the answers . we ' re told that there are 6 pots and that each pot costs 25 cents more than the next . the total price of the pots is $ 8.25 . we ' re asked for the price of the largest ( most expensive ) pot . since the total price is $ 8.25 ( a 10 - cent increment ) and the the difference in sequential prices of the pots is 10 cents , the largest pot probably has a price that is a 10 - cent increment . from the answer choices , i would then test answer a first if . . . . the largest pot = $ 1.625 1.125 1.225 1.325 1.425 1.525 1.625 total = $ 8.25 so this must be the answer . a""","a ) $ 1.62 , b ) $ 1.85 , c ) $ 2.00 , d ) $ 2.15 , e ) $ 2.30",a,"add(divide(subtract(8.25, multiply(divide(multiply(subtract(6, const_1), 6), const_2), 0.1)), 6), multiply(subtract(6, const_1), 0.1))","subtract(n0,const_1)|multiply(n0,#0)|multiply(n2,#0)|divide(#1,const_2)|multiply(n2,#3)|subtract(n1,#4)|divide(#5,n0)|add(#6,#2)|",general
"in the above number , a and b represent the tens and units digits , respectively . if the above number is divisible by 45 , what is the greatest possible value of b x a ?","""i also was confused when i was looking forabove number : d as far as i understood , 45 is a factor of ab . in other words , the values of b ( units digits can be 5 or 0 . better to have option for 5 in this case to havebigger result ) . now let ' s try 45 x 1 ( a = 4 , b = 5 respectively we have = 20 ) . this is the greatest possible value of b x a . imo e .""","a ) 0 , b ) 5 , c ) 10 , d ) 15 , e ) 20",e,"multiply(add(const_3, const_4), add(const_2, const_3))","add(const_3,const_4)|add(const_2,const_3)|multiply(#0,#1)|",general
the profit obtained by selling an article for rs . 57 is the same as the loss obtained by selling it for rs . 43 . what is the cost price of the article ?,"""s . p 1 - c . p = c . p – s . p 2 57 - c . p = c . p - 43 2 c . p = 57 + 43 ; c . p = 100 / 2 = 50 answer : b""","a ) rs . 40 , b ) rs . 50 , c ) rs . 49 , d ) rs . 59 , e ) none of these",b,"divide(add(57, 43), const_2)","add(n0,n1)|divide(#0,const_2)|",gain
"in 2008 , the profits of company n were 8 percent of revenues . in 2009 , the revenues of company n fell by 20 percent , but profits were 15 percent of revenues . the profits in 2009 were what percent of the profits in 2008 ?","""the profit 0 f 2009 interms of 2008 = 0.8 * 15 / 8 * 100 = 150 % a""","a ) 150 % , b ) 105 % , c ) 120 % , d ) 124.2 % , e ) 138 %",a,"multiply(divide(multiply(15, subtract(const_1, divide(20, const_100))), 8), const_100)","divide(n3,const_100)|subtract(const_1,#0)|multiply(n4,#1)|divide(#2,n1)|multiply(#3,const_100)|",gain
"a garrison of 2000 men has provisions for 54 days . at the end of 15 days , a reinforcement arrives , and it is now found that the provisions will last only for 20 days more . what is the reinforcement ?","""2000 - - - - 54 2000 - - - - 39 x - - - - - 20 x * 20 = 2000 * 39 x = 3900 2000 - - - - - - - 1900 answer : d""","a ) 1778 , b ) 1682 , c ) 9178 , d ) 1900 , e ) 1782",d,"subtract(divide(subtract(multiply(2000, 54), multiply(2000, 15)), 20), 2000)","multiply(n0,n1)|multiply(n0,n2)|subtract(#0,#1)|divide(#2,n3)|subtract(#3,n0)|",physics
"if a bicyclist in motion increases his speed by 30 percent and then increases this speed by 10 percent , what percent of the original speed is the total increase in speed ?",let the sped be 100 an increase of 30 % the speed now is 130 a further increase of 10 % on 130 = 13 total increase = 43 on 100 = 43 % c,"a ) 10 % , b ) 40 % , c ) 43 % , d ) 64 % , e ) 140 %",c,"subtract(add(add(const_100, 30), multiply(add(const_100, 30), divide(10, const_100))), const_100)","add(n0,const_100)|divide(n1,const_100)|multiply(#0,#1)|add(#0,#2)|subtract(#3,const_100)",general
"what is the greatest number that divides 263 , 935 and 1383 leaving a remainder of 7 in each case ?","answer the required greatest number is the hcf of 263 - 7 , 935 - 7 , 1383 - 7 i . e . 256 , 928 and 1376 hcf = 32 correct option : c","a ) 30 , b ) 31 , c ) 32 , d ) 35 , e ) 37",c,"divide(divide(subtract(subtract(subtract(1383, 7), subtract(935, 7)), subtract(263, 7)), const_3), const_2)","subtract(n2,n3)|subtract(n1,n3)|subtract(n0,n3)|subtract(#0,#1)|subtract(#3,#2)|divide(#4,const_3)|divide(#5,const_2)",general
how many seconds will a 900 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?,"""explanation : here distance d = 900 mts speed s = 63 - 3 = 60 kmph = 60 x 5 / 18 m / s time t = = 54 sec . answer : c""","a ) 48 , b ) 36 , c ) 54 , d ) 11 , e ) 18",c,"divide(900, multiply(subtract(63, 3), const_0_2778))","subtract(n1,n2)|multiply(#0,const_0_2778)|divide(n0,#1)|",physics
find the average of all the numbers between 6 and 38 which are divisible by 4 .,"""solution average = ( ( 8 + 12 + 16 + 20 + 24 + 28 + 32 + 36 ) / 8 ) = 186 / 7 = 22 answer b""","a ) 18 , b ) 22 , c ) 20 , d ) 30 , e ) 28",b,"divide(add(add(6, const_4), subtract(38, const_4)), const_2)","add(n0,const_4)|subtract(n1,const_4)|add(#0,#1)|divide(#2,const_2)|",general
if the cost price is 96 % of sp then what is the profit %,"""sol . sp = rs 100 : then cp = rs 96 : profit = rs 4 . profit = { ( 4 / 96 ) * 100 } % = 4.17 % answer is d .""","a ) 4.07 % , b ) 4 % , c ) 4.7 % , d ) 4.17 % , e ) 4.27 %",d,"multiply(divide(subtract(const_100, 96), 96), const_100)","subtract(const_100,n0)|divide(#0,n0)|multiply(#1,const_100)|",gain
"a car gets 27 miles to the gallon . if it is modified to use a solar panel , it will use only 75 percent as much fuel as it does now . if the fuel tank holds 14 gallons , how many more miles will the car be able to travel , per full tank of fuel , after it has been modified ?","""originally , the distance the car could go on a full tank was 14 * 27 = 378 miles . after it has been modified , the car can go 27 / 0.75 = 36 miles per gallon . on a full tank , the car can go 14 * 36 = 504 miles , thus 126 miles more . the answer is b .""","a ) 120 , b ) 126 , c ) 132 , d ) 138 , e ) 144",b,"subtract(multiply(multiply(divide(27, 75), const_100), 14), multiply(27, 14))","divide(n0,n1)|multiply(n0,n2)|multiply(#0,const_100)|multiply(n2,#2)|subtract(#3,#1)|",physics
"a fort had provision of food for 150 men for 45 days . after 10 days , 25 men left the fort . the number of days for which the remaining food will last , is :","""explanation : after 10 days : 150 men had food for 35 days . suppose 125 men had food for x days . now , less men , more days ( indirect proportion ) { \ color { blue } \ therefore } 125 : 150 : : 35 : x { \ color { blue } \ rightarrow } 125 x x = 150 x 35 { \ color { blue } \ rightarrow x = \ frac { 150 \ times 35 } { 125 } } { \ color { blue } \ rightarrow } x = 42 . answer : c ) 42""","a ) 34 , b ) 387 , c ) 42 , d ) 28 , e ) 71",c,"divide(multiply(150, add(25, 10)), subtract(150, 25))","add(n2,n3)|subtract(n0,n3)|multiply(n0,#0)|divide(#2,#1)|",physics
a person lent a certain sum of money at 4 % per annum at simple interest and in 8 years the interest amounted to rs . 306 less than the sum lent . what was the sum lent ?,"""p - 306 = ( p * 4 * 8 ) / 100 p = 450 answer : e""","a ) 228 , b ) 278 , c ) 289 , d ) 500 , e ) 450",e,"divide(306, subtract(const_1, divide(multiply(4, 8), const_100)))","multiply(n0,n1)|divide(#0,const_100)|subtract(const_1,#1)|divide(n2,#2)|",gain
"a man has some hens and cows . if the number of heads be 50 and the number of feet equals 144 , then the number of hens will be","""explanation : let number of hens = h and number of cows = c number of heads = 50 = > h + c = 48 - - - ( equation 1 ) number of feet = 144 = > 2 h + 4 c = 144 = > h + 2 c = 72 - - - ( equation 2 ) ( equation 2 ) - ( equation 1 ) gives 2 c - c = 72 - 50 = > c = 22 substituting the value of c in equation 1 , we get h + 22 = 50 = > h = 50 - 22 = 28 i . e . , number of hens = 28 answer : e""","a ) 22 , b ) 24 , c ) 26 , d ) 20 , e ) 28",e,"divide(subtract(multiply(50, const_4), 144), const_2)","multiply(n0,const_4)|subtract(#0,n1)|divide(#1,const_2)|",general
"because he ’ s taxed by his home planet , mork pays a tax rate of 40 % on his income , while mindy pays a rate of only 30 % on hers . if mindy earned 3 times as much as mork did , what was their combined tax rate ?","""say morks income is - 100 so tax paid will be 40 say mindy ' s income is 3 * 100 = 300 so tax paid is 30 % * 300 = 90 total tax paid = 40 + 90 = 130 . combined tax % will be 130 / 100 + 300 = 32.5 % answer : a""","a ) 32.5 % , b ) 34 % , c ) 35 % , d ) 36 % , e ) 37.5 %",a,"multiply(const_100, divide(add(divide(40, const_100), multiply(3, divide(30, const_100))), add(const_1, 3)))","add(n2,const_1)|divide(n0,const_100)|divide(n1,const_100)|multiply(n2,#2)|add(#1,#3)|divide(#4,#0)|multiply(#5,const_100)|",gain
"a watch was sold at a loss of 5 % . if it was sold for rs . 500 more , there would have been a gain of 5 % . what is the cost price ?","""95 % 105 % - - - - - - - - 10 % - - - - 500 100 % - - - - ? = > rs . 5000 answer : d""","a ) 1000 , b ) 2998 , c ) 2778 , d ) 2788 , e ) 2991",d,"divide(multiply(500, const_100), subtract(add(const_100, 5), subtract(const_100, 5)))","add(const_100,n2)|multiply(n1,const_100)|subtract(const_100,n0)|subtract(#0,#2)|divide(#1,#3)|",gain
a car travels at a speed of 65 miles per hour . how far will it travel in 6 hours ?,"""during each hour , the car travels 65 miles . for 6 hours it will travel 65 + 65 + 65 + 65 + 65 + 65 = 6 × 65 = 390 miles correct answer is c ) 390 miles""","a ) 125 miles , b ) 225 miles , c ) 390 miles , d ) 425 miles , e ) 525 miles",c,"multiply(65, 6)","multiply(n0,n1)|",physics
"in a family 13 people eat only vegetarian , 7 people eat only non veg . , 8 people eat both veg and non veg . . how many people eat veg in the family ?","""total people eat veg = only veg + both veg and non veg total = 13 + 8 = 21 answer = e""","a ) 20 , b ) 11 , c ) 9 , d ) 31 , e ) 21",e,"add(13, 8)","add(n0,n2)|",other
"if p / q = 4 / 5 , then the value of 11 / 7 + { ( 2 q - p ) / ( 2 q + p ) } is ?","answer given exp . = 11 / 7 + { ( 2 q - p ) / ( 2 q + p ) } dividing numerator as well as denominator by q , exp = 11 / 7 + { 2 - p / q ) / ( 2 + p / q ) } = 11 / 7 + { ( 2 - 4 / 5 ) / ( 2 + 4 / 5 ) } = 11 / 7 + 6 / 14 = 11 / 7 + 3 / 7 = 14 / 7 = 2 correct option : d","a ) 3 / 7 , b ) 34 , c ) 1 , d ) 2 , e ) 3",d,"add(divide(11, 7), divide(subtract(2, divide(4, 5)), add(2, divide(4, 5))))","divide(n2,n3)|divide(n0,n1)|add(n4,#1)|subtract(n4,#1)|divide(#3,#2)|add(#0,#4)",general
"if x ^ 2 + y ^ 2 = 13 and xy = 3 , then ( x − y ) ^ 2 =","""but you can not take xy + 3 to mean xy = - 3 . . only if xy + 3 = 0 , it will mean xy = - 3 . . rest your solution is perfect and you will get your correct answer as 13 - 2 * 3 = 7 . . answer a""","a ) 7 , b ) 11 , c ) 14 , d ) 17 , e ) 20",a,"power(3, 2)","power(n3,n0)|",general
"a big container is 40 % full with water . if 14 liters of water is added , the container becomes 3 / 4 full . what is the capacity of the big container in liters ?",14 liters is 35 % of the capacity c . 14 = 0.35 c c = 14 / 0.35 = 40 liters . the answer is c .,"a ) 32 , b ) 36 , c ) 40 , d ) 44 , e ) 48",c,"divide(14, subtract(divide(3, 4), divide(40, const_100)))","divide(n2,n3)|divide(n0,const_100)|subtract(#0,#1)|divide(n1,#2)",general
the ratio of the arithmetic mean of two numbers to one of the numbers is 5 : 8 . what is the ratio of the smaller number to the larger number ?,"""for two numbers , the arithmetic mean is the middle of the two numbers . the ratio of the mean to the larger number is 5 : 8 , thus the smaller number must have a ratio of 2 . the ratio of the smaller number to the larger number is 2 : 8 = 1 : 4 . the answer is d .""","a ) 1 : 8 , b ) 1 : 6 , c ) 1 : 5 , d ) 1 : 4 , e ) 1 : 3",d,"multiply(subtract(divide(5, 8), divide(const_1, const_2)), const_2)","divide(n0,n1)|divide(const_1,const_2)|subtract(#0,#1)|multiply(#2,const_2)|",other
"the salaries of a , b , and c are in the ratio of 1 : 2 : 3 . the salary of b and c together is rs . 6000 . by what percent is the salary of c more than that of a ?","explanation : let the salaries of a , b , c be x , 2 x and 3 x respectively . then , 2 x + 3 x = 6000 = > x = 1200 . a ' s salary = rs . 1200 , b ' s salary = rs . 2400 , and cs salary rs . 3600 . excess of c ' s salary over a ' s = [ ( 2400 / 1200 ) x 100 ] = 200 % . answer : b ) 200 %","a ) 209 % , b ) 200 % , c ) 290 % , d ) 600 % , e ) 100 %",b,"multiply(subtract(divide(multiply(3, divide(6000, add(2, 3))), divide(6000, add(2, 3))), const_1), const_100)","add(n1,n2)|divide(n3,#0)|multiply(n2,#1)|divide(#2,#1)|subtract(#3,const_1)|multiply(#4,const_100)",other
a man swims downstream 96 km and upstream 40 km taking 8 hours each time ; what is the speed of the current ?,"""explanation : 96 - - - 8 ds = 12 ? - - - - 1 40 - - - - 8 us = 5 ? - - - - 1 s = ? s = ( 12 - 5 ) / 2 = 3.5 answer : option a""","a ) 3.5 kmph , b ) 1.5 kmph , c ) 13 kmph , d ) 6.5 kmph , e ) 7 : 3 kmph",a,"divide(add(divide(40, 8), divide(96, 8)), const_2)","divide(n1,n2)|divide(n0,n2)|add(#0,#1)|divide(#2,const_2)|",physics
vinoth can complete a painting work in 20 days . prakash can do the same work in 25 days . they start the work together but vinoth quit after 3 days of work . how many days are required to complete the remaining painting work by prakash .,"vinoth can complete the painting work in one day is 1 / 20 prakash can complete the same work in one day is 1 / 25 both of them can complete the work in 1 / 20 + days = 9 / 100 ( 1 / 20 + 1 / 25 ) they must have completed in three days = 9 / 100 * 3 = 27 / 100 remaining work to be done is by prakash = 1 - 27 / 100 = 73 / 100 for one work , prakash can do in 25 days for 73 / 100 work , he can do in 73 / 100 * 25 = 73 / 4 days or 18.25 days answer : d","a ) 15.25 days , b ) 16.25 days , c ) 17.25 days , d ) 18.25 days , e ) 19.25 days",d,"divide(subtract(const_1, multiply(3, divide(const_1, 25))), divide(const_1, 20))","divide(const_1,n1)|divide(const_1,n0)|multiply(n2,#0)|subtract(const_1,#2)|divide(#3,#1)",physics
"the total cost of a vacation was divided among 3 people . if the total cost of the vacation had been divided equally among 5 people , the cost per person would have been $ 50 less . what was the total cost cost of the vacation ?","c for cost . p price per person . c = 3 * p c = 5 * p - 250 substituting the value of p from the first equation onto the second we get p = 125 . plugging in the value of p in the first equation , we get c = 375 . which leads us to answer choice b","a ) $ 200 , b ) $ 375 , c ) $ 400 , d ) $ 500 , e ) $ 600",b,"multiply(multiply(5, 3), divide(50, subtract(5, 3)))","multiply(n0,n1)|subtract(n1,n0)|divide(n2,#1)|multiply(#2,#0)",general
